Protein Set,norm(Weighted SC Z1),norm(Weighted SC Z2),norm(Weighted SC K1),norm(Weighted SC Z3),norm(Weighted SC Z4),norm(Weighted SC Z6),norm(Weighted SC Z5),norm(Weighted SC Z7),norm(Weighted SC K2),norm(Weighted SC K3),norm(Weighted SC K4),norm(Weighted SC K5)
MYH9_HUMAN,66.28833346200827,116.97712030951136,52.87217459000791,101.27252588944192,210.15811753627412,69.8186046673572,88.02361968660215,113.2775239289578,82.74278916854304,43.81423544300547,86.50790746698777,130.97039074681078
VIME_HUMAN,105.7975955469692,179.33514490667935,132.0604413441583,136.85688410477397,234.42803025600068,145.83712120788456,169.15530303621154,170.80747693188752,136.87664689559384,85.49324774158946,173.18692358026905,160.16518444798265
PLSL_HUMAN,59.79759554696921,95.28611841742152,61.02775320328916,96.66076288895364,169.28095078822724,68.82077904479861,89.0735845913873,113.6930741608914,63.82761659163875,56.44421743763438,62.15423543939989,79.06712384007248
ACTB_HUMAN,99.02453951669577,111.44104090277308,91.01088079728329,108.40895472244974,180.13463425990693,106.17101403015018,98.85233214998105,128.89570325024687,108.9304493858282,73.28822302235118,101.39700658808152,158.60082287571703
K2C1_HUMAN,66.21101717782858,103.2440728241598,113.31197485245907,113.85089503006692,16.677282575336598,65.72035332458377,124.54902557039121,1.8074769318874981,75.92404832381648,93.1946027220582,51.76551397333544,83.03171582005295
ANXA6_HUMAN,63.79759554696921,76.33514490667933,65.06044134415829,54.85688410477396,154.42803025600068,61.83712120788456,78.15530303621152,95.80747693188749,67.87664689559382,62.49324774158946,65.18692358026902,68.16518444798264
FLNA_HUMAN,2.797595546969209,3.3351449066793304,1.0604413441582974,3.856884104773962,36.42803025600066,3.837121207884554,9.15530303621153,13.807476931887498,18.876646895593826,5.493247741589455,15.186923580269031,11.165184447982647
KPYM_HUMAN,63.79759554696921,56.33514490667933,40.0604413441583,49.85688410477396,91.42803025600065,51.83712120788456,53.155303036211535,63.8074769318875,24.876646895593826,30.493247741589453,50.18692358026903,37.16518444798265
TBB5_HUMAN,46.69865755868796,49.85458460394496,34.04277548112119,56.88515482620951,110.46690202113737,52.99260445373417,46.628806149004504,66.81808179028593,39.47735490340633,12.11162256611338,55.15159185419481,68.43020672581467
HSP7C_HUMAN,46.25031237436179,23.264180093446907,49.24701818742002,42.429077250525914,69.7087309395944,32.05979271667362,45.341528927324816,33.059975558596484,59.14791383284969,29.849254363903906,27.791440563301258,23.63132519505296
G3P_HUMAN,83.7975955469692,72.33514490667933,91.06044134415829,74.85688410477395,88.42803025600065,64.83712120788455,76.15530303621152,55.8074769318875,99.87664689559382,67.49324774158946,54.18692358026903,55.16518444798265
MOES_HUMAN,58.24971346689109,55.78725901190394,45.38560995377744,36.400310618445836,68.66188645717253,33.8170749737537,45.91699889802794,48.56916897900664,58.673979659265704,31.874093765149023,50.0399318505327,52.14514202854905
ANXA1_HUMAN,21.79759554696921,30.33514490667933,21.060441344158296,40.85688410477396,60.42803025600066,28.837121207884554,34.15530303621153,37.8074769318875,60.87664689559383,24.493247741589453,42.18692358026903,31.165184447982647
K1C10_HUMAN,42.68974642587546,40.29401484076136,62.0604413441583,29.85688410477396,-0.5719697439993388,33.83712120788456,68.0319052090631,-0.19252306811250186,22.876646895593826,47.49324774158946,14.186923580269031,34.14461941502366
PGK1_HUMAN,42.79759554696921,40.33514490667933,51.0604413441583,47.85688410477396,52.42803025600066,42.83712120788456,45.155303036211535,38.8074769318875,57.87664689559383,36.49324774158946,31.18692358026903,44.16518444798265
TBB4B_HUMAN,4.896535442599092,1.8157106930410247,2.078109233753329,4.828615290687048,6.389161351886892,5.681644160918001,2.681804691790143,2.7968763650234845,1.2759401990835126,2.874873215088753,3.2222593594590947,4.900166938522197
HBB_HUMAN,78.93007998300436,117.07199183050746,56.06770071305478,67.46849451737161,14.553257230487965,90.4904796673572,80.80866149568418,44.85647671826445,84.96739091414851,97.82717871082774,37.673308925728016,72.09621472142014
HS90A_HUMAN,36.277278469332494,30.440922647157844,51.94637426652158,40.89797602371927,74.01130509730925,35.5613376690662,41.82030013704161,46.03934949048125,27.947893996423904,44.50855612171641,34.85411031732958,27.45736927769456
LDHB_HUMAN,42.70082049203757,36.16740503851527,49.65398916520322,39.6891442366099,38.64093232509246,29.979056556395296,36.368205105303325,40.3300599397,47.850840468591876,52.01582693470469,56.470794277290516,33.37808651707444
ANXA2_HUMAN,38.79759554696921,52.33514490667933,28.060441344158296,47.85688410477396,72.42803025600065,49.83712120788456,60.155303036211535,43.8074769318875,55.87664689559383,26.493247741589453,53.18692358026903,53.16518444798265
TPIS_HUMAN,75.7975955469692,82.33514490667933,44.0604413441583,50.85688410477396,41.42803025600066,37.83712120788456,54.155303036211535,53.8074769318875,61.87664689559383,50.49324774158946,39.18692358026903,62.16518444798265
ENOA_HUMAN,31.37470965219382,30.250567346254524,26.060441344158296,28.772306544349156,66.08972001430143,25.837121207884554,27.155303036211528,30.807476931887496,37.87664689559383,18.493247741589453,29.18692358026903,26.165184447982647
ACTC_HUMAN,5.779998348482881,6.359007745424448,4.5581034115716275,5.713113886878454,2.6972096001779073,5.871738631895784,4.065540586947003,3.4908835233029034,4.992392440027421,5.464708799252419,7.0270214844743535,8.421583602645732
SAMH1_HUMAN,17.79759554696921,18.33514490667933,16.060441344158296,18.85688410477396,40.42803025600066,16.837121207884554,22.155303036211528,29.807476931887496,7.876646895593828,5.493247741589455,9.186923580269031,11.165184447982647
K22E_HUMAN,42.978709743746556,45.77668085638636,55.139085142986424,22.267904383704625,-5.027602847846842,15.702313621214632,49.31995299959044,-0.19252306811250186,23.41926660079402,37.08698629749766,19.370631771187,43.31789059422288
H14_HUMAN,57.983306453951634,44.299427896181285,48.93901571549619,58.67831049637552,55.192316297260426,45.29426308410526,33.85090163850645,44.293190890627734,58.612360854334064,27.136104339489844,49.09406621942919,45.05804104588304
