prot,SCORE_zdr,SCORE_LUMA,SCORE_LUMB,SCORE_TNBC
ENO3,1.629,0.761,0.425,0.775
PGK1,1.093,0.912,0.914,0.509
ENO1,1.057,0.924,0.69,0.709
LDHA,0.905,0.797,0.649,0.641
HK1,0.886,NaN,NaN,0.725
ALDOA,0.795,0.747,0.196,0.443
GAPDH,0.744,0.795,0.533,0.473
ENO2,0.713,0.49,0.671,0.021
PRDX5,0.593,0.293,NaN,0.363
ANXA2,0.577,0.264,0.265,0.391
ALDOC,0.573,0.887,0.149,0.533
GPI,0.556,-0.272,0.0,0.26
S100A4,0.328,0.042,0.182,0.368
NDRG1,0.322,NaN,NaN,NaN
TES,0.314,-0.149,NaN,-0.055
PFKL,0.273,0.875,NaN,0.618
MYH9,0.228,-0.454,0.06,0.342
PRKCA,0.194,NaN,NaN,NaN
PGM1,0.194,NaN,NaN,NaN
HSPA5,0.118,0.227,-0.008,-0.128
TPI1,0.037,0.458,0.724,-0.264
ISG20,0.0,NaN,NaN,0.0
PGM2,0.0,0.309,0.365,0.365
MIF,-0.006,0.413,0.908,0.298
MT1E,-0.591,-0.389,NaN,-0.41
FBP1,NaN,0.781,NaN,NaN
GLRX,NaN,0.367,NaN,NaN
NAGK,NaN,0.365,NaN,NaN
ANKZF1,NaN,NaN,NaN,0.309
