prot,SCORE_zdr,SCORE_LUMA,SCORE_LUMB,SCORE_TNBC
SYNCRIP,1.189,0.871,0.34,0.255
HNRNPU,1.176,1.033,0.092,0.782
PTGES3,1.101,0.909,0.586,0.171
PGK1,1.093,0.912,0.914,0.509
RPL22,1.086,0.726,0.323,0.14
RAN,1.008,0.734,0.383,1.287
HSPD1,0.982,0.202,0.103,0.574
RPS3,0.952,-0.457,-0.115,0.661
ILF2,0.949,0.051,0.096,0.623
LDHA,0.905,0.797,0.649,0.641
RPL18,0.892,2.083,0.255,0.531
HNRNPC,0.888,0.828,0.625,0.352
RACK1,0.849,0.31,0.196,0.589
RPS2,0.785,-0.261,0.618,0.455
HSP90AB1,0.781,-0.134,0.184,0.122
HNRNPA2B1,0.768,0.842,0.245,-0.201
RPS6,0.738,1.158,0.365,0.0
YWHAE,0.731,0.653,0.842,0.983
C1QBP,0.694,0.467,0.535,0.265
HNRNPA3,0.69,0.686,0.25,0.263
CCT4,0.674,0.365,NaN,0.455
RPL14,0.668,0.951,0.317,0.513
PCBP1,0.645,0.14,0.01,0.705
HNRNPR,0.643,0.619,0.304,0.596
CCT5,0.642,-0.548,0.243,0.645
HSPE1,0.627,0.154,0.378,-0.115
SSB,0.617,0.993,0.174,0.031
RPS10,0.601,0.471,0.192,0.977
KPNB1,0.6,-0.116,-0.079,0.582
TUFM,0.598,0.794,NaN,0.033
EIF4A1,0.595,0.039,-0.061,0.287
EEF1B2,0.576,0.833,NaN,NaN
RPLP0,0.562,0.173,-0.082,0.457
XRCC6,0.552,0.083,0.107,0.342
CCT3,0.545,-0.076,0.618,0.419
YWHAQ,0.47,0.43,-0.054,-0.305
PSMA1,0.448,0.668,NaN,NaN
RPL6,0.445,0.365,NaN,0.618
SF3B3,0.445,0.309,-0.309,0.06
SLC25A3,0.445,-0.211,0.553,0.311
NOP56,0.439,NaN,NaN,-0.367
TRIM28,0.431,NaN,0.365,0.548
HNRNPA1,0.408,0.399,0.027,1.009
CCT7,0.407,NaN,NaN,0.192
HPRT1,0.394,0.928,NaN,0.479
SNRPD3,0.392,0.077,0.315,0.916
NAP1L1,0.383,0.365,NaN,0.309
SRSF7,0.374,0.606,0.404,0.167
PHB2,0.36,-0.31,0.0,0.673
APEX1,0.349,0.68,0.57,0.29
VDAC1,0.349,-0.105,-0.343,0.45
TCP1,0.343,NaN,NaN,-0.309
TRA2B,0.335,0.606,NaN,-0.106
HNRNPD,0.331,0.78,0.507,0.156
PPIA,0.324,0.535,0.471,0.239
SNRPA1,0.322,0.309,NaN,0.535
PA2G4,0.298,0.694,0.309,0.298
GOT2,0.294,-0.156,-0.367,0.182
PSMA6,0.289,0.419,0.911,0.199
GLO1,0.287,0.631,1.003,0.6
PSMA2,0.287,0.39,0.365,0.064
VDAC3,0.275,-0.6,-0.227,0.44
EPRS1,0.273,0.309,NaN,0.772
SET,0.272,0.454,0.393,0.268
PSMB2,0.269,0.691,0.309,-0.154
PRDX3,0.244,0.184,-0.519,0.087
TARDBP,0.24,0.309,NaN,-0.535
PCNA,0.24,0.507,NaN,0.389
DHX15,0.24,0.093,0.309,-0.022
SRSF2,0.216,0.27,0.351,-0.439
UBE2L3,0.215,-0.042,0.309,0.139
PSMC6,0.194,NaN,NaN,0.0
CCT2,0.194,-0.149,NaN,0.352
CNBP,0.194,NaN,NaN,NaN
SNRPA,0.194,NaN,NaN,0.309
RAD23B,0.194,-0.389,NaN,-0.309
RUVBL2,0.194,NaN,NaN,NaN
PSMA4,0.19,0.54,0.548,0.311
RPS5,0.185,-0.112,NaN,0.202
PSMA7,0.181,0.864,0.533,0.62
SRSF3,0.15,0.352,0.458,0.387
PABPC1,0.144,-0.201,NaN,-0.091
LSM2,0.136,0.8,NaN,NaN
CBX3,0.098,0.653,NaN,-0.206
SNRPD2,0.052,0.0,NaN,0.312
PSMB3,0.046,0.391,0.309,0.273
SERBP1,0.032,0.365,NaN,0.309
HDGF,0.009,0.482,0.105,0.142
UBA2,0.0,NaN,NaN,0.309
COX5A,-0.033,NaN,-0.535,NaN
DEK,-0.034,-0.373,0.548,0.223
SRSF1,-0.052,0.35,0.132,0.053
RANBP1,-0.06,0.245,0.535,NaN
FBL,-0.105,-0.535,NaN,0.136
NPM1,-0.127,0.198,0.177,-0.46
EIF2S2,-0.194,NaN,NaN,0.309
EIF2S1,-0.194,-0.309,NaN,NaN
CANX,-0.706,-0.465,0.057,0.363
PSMC4,NaN,0.532,NaN,NaN
ACP1,NaN,0.505,NaN,NaN
ERH,NaN,0.389,NaN,NaN
SNRPD1,NaN,0.309,NaN,NaN
RSL1D1,NaN,-0.309,NaN,0.309
IMPDH2,NaN,NaN,0.309,0.535
PSMD7,NaN,NaN,NaN,0.309
PSMD1,NaN,NaN,NaN,0.309
