Protein Set;Annotation;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C21;C22;Z01;Z02;Z03;Z04;Z05;Z06;Z07;Z08;Z09;Z10;Z11;Z12;Z13;Z14;Z15;Z16;Z17;Z18;Z19;Z20;Z21;Z22;Z23;C03_2;C04_2;C05_2;C06_2;C07_2;C08_2;C09_2;C10_2;C11_2;C12_2;C13_2;C14_2;C15_2;C16_2;C17_2;C18_2
MYH9;Myosin-9;94.49529;180.23232;46.948025;46.81992;121.58647;90.58895;107.6776;20.946703;107.7264;65.8158;133.61937;162.54431;119.66666;165.66266;245.55273;209.58252;167.42284;198.69844;76.651;52.873436;21.937513;66.71657;118.24264;102.11753;216.73586;88.37007;68.43402;114.15003;173.42043;202.25941;46.718014;124.68425;190.53853;169.47922;221.34047;217.12207;229.07172;254.81795;221.1429;177.95892;159.33762;85.61957;148.51411;185.2911;150.63802;156.52217;205.59383;202.56921;165.55827;197.4249;207.4281;175.51323;167.72665;187.67432;171.5993;23.880404;177.63286;137.61482;240.43086;147.69576
VIM;Vimentin;146.99373;177.9964;103.0;90.0;144.0;176.0;137.0;55.999035;128.99884;106.99711;141.99904;159.0;175.99518;161.99518;239.99808;194.0;155.99692;161.99904;118.99843;111.99718;146.9972;105.99922;179.9978;136.99875;239.9978;168.99734;143.9975;170.99702;171.99263;221.9859;208.99124;98.99499;176.99281;183.99481;210.99263;222.98997;236.99123;207.9895;219.99342;200.99202;154.9917;161.9909;102.99577;142.99686;189.98843;190.99133;191.99326;202.99422;168.99133;211.99614;214.99036;152.9923;134.99808;192.9894;192.99904;154.0;218.99712;186.99808;188.99788;164.0
LCP1;Plastin-2;65.90691;137.86038;33.971928;32.0;97.69121;88.77542;78.88771;39.88771;97.77542;43.88771;87.91579;105.74735;70.943855;111.88771;193.71928;132.94385;155.85965;102.91579;62.97673;66.97673;36.97673;60.0;95.93019;96.72075;174.79056;88.883644;66.97673;113.8371;116.93019;176.86038;57.97673;32.906914;150.72075;147.95346;181.81383;179.74402;153.8371;180.8371;176.72073;198.62766;59.95346;82.97673;124.81383;110.883644;136.85965;82.91579;143.83157;133.85963;136.74734;164.77542;138.8035;166.77542;138.83157;146.8035;146.8035;54.971928;165.85965;110.91579;136.8035;75.91579
ANXA6;Annexin A6;66.0;125.0;36.0;30.0;72.0;70.0;76.0;25.0;73.0;93.0;75.0;58.0;74.0;77.0;133.0;75.0;117.0;111.0;143.0;76.0;46.0;64.0;77.0;55.0;160.0;78.0;60.0;96.0;82.0;114.0;45.0;30.0;105.0;78.0;143.0;110.0;99.0;117.0;110.0;142.0;64.0;63.0;67.0;93.0;110.0;74.0;94.0;77.0;76.0;41.0;102.0;104.0;104.0;79.0;86.0;41.0;128.0;69.0;124.0;72.0
ACTB;Actin, cytoplasmic 1;128.78566;140.82613;69.938446;74.21451;120.79364;119.98625;129.61203;72.19023;149.89925;124.58951;150.31343;135.13043;161.94238;163.83322;175.01955;132.37909;169.19922;142.72762;178.31392;137.5485;102.903175;98.46223;111.32197;107.83906;184.37744;98.006485;103.58571;128.14114;181.28815;190.62239;117.030014;78.54875;136.28674;141.34749;169.3237;165.13809;162.15488;185.62639;185.94247;214.69247;158.02698;102.12997;110.30379;137.75789;180.96959;166.82187;171.62949;186.2631;185.62128;186.1269;179.94704;169.78188;167.33734;221.15535;154.67767;112.35048;167.10616;124.213905;169.40767;103.80171
ALB;Albumin;28.0;2.0;29.0;21.0;14.0;9.0;12.0;11.0;149.0;108.0;133.0;22.0;53.0;23.0;39.0;45.0;10.0;41.0;76.0;76.0;45.0;14.0;40.0;19.0;6.0;8.0;21.0;11.0;11.0;11.0;118.0;75.0;38.0;39.0;29.0;25.0;35.0;18.0;84.0;34.0;67.0;35.0;30.0;31.0;22.0;22.0;41.0;54.0;37.0;154.0;36.0;29.0;27.0;25.0;28.0;66.0;33.0;84.0;26.0;18.0
FLNA;Filamin-A;5.0;16.0;0.0;7.0;12.0;23.0;13.0;6.0;25.0;7.0;0.0;16.0;19.0;12.0;24.0;26.0;26.0;54.0;14.0;34.0;16.0;3.0;4.0;4.0;42.0;9.0;2.0;14.0;5.0;23.0;8.0;9.0;41.0;30.0;36.0;46.0;23.0;36.0;24.0;54.0;12.0;24.0;25.0;40.0;24.0;32.0;35.0;30.0;22.0;44.0;30.0;34.0;14.0;15.0;27.0;13.0;35.0;23.0;33.0;65.0
KRT1;Keratin, type II cytoskeletal 1;131.83739;16.214132;274.07672;94.96906;45.25991;37.423515;69.431366;10.506526;75.67038;66.73386;82.79761;47.849445;136.61853;58.997585;16.207832;23.207832;0.0;57.155994;94.86999;0.0;22.618233;65.92815;102.9948;113.26982;22.107067;123.555885;63.13175;2.0;10.511777;19.392063;68.18303;46.018066;53.64625;41.409813;14.702355;1.0;11.107066;9.107066;4.7023554;4.7023554;85.09399;20.867031;29.10402;42.182426;31.423517;41.491062;82.03661;19.818272;70.40805;25.088451;89.96907;12.103916;37.14814;50.20022;87.0963;13.207831;11.677986;32.311745;11.8727665;43.610443
MSN;Moesin;36.57236;59.4485;26.557991;28.394974;45.75129;44.549614;59.789944;32.15464;44.43363;63.27062;64.06895;46.15464;47.510956;65.94459;65.06895;43.34794;73.58827;97.231964;110.04433;75.19821;79.69622;57.92047;55.920467;36.10039;73.68449;45.310337;31.572363;48.33638;73.26858;84.897;117.25684;39.75228;72.20078;80.324646;77.08865;69.4485;67.92046;68.156456;70.68449;127.05088;44.57236;54.336376;62.57236;75.988266;87.22359;72.510956;78.94459;59.75129;61.309277;60.34794;70.549614;61.425255;64.3866;59.146263;61.386597;85.14627;74.34794;44.23196;82.944595;59.59665
KRT2;Keratin, type II cytoskeletal 2 epidermal;52.281693;1.2359743;231.17552;41.911636;41.996067;17.63398;21.449337;2.8763428;6.8339787;7.8813605;9.148172;5.1820164;76.555016;20.88638;2.1761231;3.1761231;0.0;18.341845;37.864414;0.0;12.347975;43.301476;46.79355;22.530634;0.61798716;49.40635;14.086494;0.0;1.0299786;1.8747456;13.598204;16.286842;20.038715;5.473487;0.20599572;0.0;0.61798716;3.3303933;5.630808;1.110131;30.586243;18.426144;6.3179965;16.30441;16.722918;8.454721;25.10982;2.9518073;15.568108;8.588349;25.8227;0.6325301;10.793299;19.858362;37.692207;2.1761231;2.6181169;10.452906;4.5079317;11.242062
PKM;Pyruvate kinase PKM;50.0;77.0;7.0;35.999393;62.998787;41.998787;65.99696;14.0;37.998787;42.99939;53.995747;58.996964;48.998787;33.999393;99.99635;59.998787;57.0;76.99635;96.0;55.0;20.0;64.0;57.0;50.0;97.0;53.0;50.0;64.0;66.0;84.0;27.0;22.0;63.0;59.0;88.0;83.0;58.0;71.0;96.0;98.0;22.0;34.0;67.0;56.0;55.998787;36.0;73.0;53.0;64.99453;55.99939;64.99757;58.998787;48.99757;87.99939;54.99939;30.99757;87.99879;57.996353;74.997574;24.99757
KRT10;Keratin, type I cytoskeletal 10;65.70181;0.0;214.36282;46.0;22.0;7.0;15.0;9.946903;17.9823;20.964602;14.0;7.0;71.858406;23.946903;1.0;2.0;0.0;21.0;59.850906;0.0;9.0;42.848843;40.94036;30.0;5.0;67.82109;32.0;0.0;0.0;0.0;30.97018;20.940361;21.940361;1.0;1.0;0.0;0.0;0.0;0.0;0.0;48.761448;9.0;5.0;17.0;14.982301;26.9823;30.9823;2.0;11.982301;7.0;28.946903;1.0;18.0;23.929203;39.946903;0.0;1.0;9.0;0.0;22.0
HSPA8;Heat shock cognate 71 kDa protein;26.12045;50.24156;17.956663;29.77291;49.85129;45.597473;46.229362;28.876783;41.54157;63.5638;62.195133;33.185715;59.599255;43.175274;84.196686;48.04088;46.052376;75.402084;73.11172;60.597477;82.53986;44.810883;22.93039;41.41885;73.63031;43.417656;29.726236;32.27913;59.79515;59.447166;75.32925;18.30798;45.292465;66.8645;73.624725;65.384514;61.083984;63.3132;69.988495;71.21174;14.78362;42.09918;48.364613;57.723755;60.89289;45.52378;62.97951;36.045242;43.84765;38.501137;63.793625;59.676044;62.629005;50.986492;51.123867;69.01109;87.67541;73.84227;60.68193;58.44214
TLN1;Talin-1;4.0;16.0;0.0;9.0;7.0;21.0;14.0;1.0;10.0;7.0;8.0;5.0;19.0;13.0;34.0;16.0;21.0;15.0;0.0;0.0;0.0;8.0;9.0;15.0;34.0;10.0;7.0;11.0;6.0;25.0;4.0;0.0;27.0;23.0;28.0;40.0;19.0;40.0;39.0;23.0;7.0;7.0;23.0;28.0;19.0;11.0;36.0;18.0;24.0;7.0;12.0;25.0;11.0;13.0;24.0;14.0;43.0;26.0;21.0;29.0
PGK1;Phosphoglycerate kinase 1;30.0;59.0;18.0;28.0;34.0;46.0;51.0;22.0;54.0;82.0;45.0;37.0;43.0;40.0;82.0;39.0;77.0;78.0;115.0;78.0;86.0;43.0;41.0;48.0;58.0;45.0;41.0;39.0;61.0;61.0;80.0;29.0;59.0;66.0;70.0;79.0;68.0;73.0;80.0;101.0;54.0;17.0;43.0;69.0;61.0;56.0;55.0;62.0;35.0;35.0;76.0;48.0;51.0;52.0;68.0;57.0;103.0;63.0;82.0;36.0
NCL;Nucleolin;15.0;19.0;18.0;17.0;39.0;15.0;32.0;22.0;27.0;46.0;18.0;6.0;31.0;51.0;63.0;39.0;48.0;68.0;60.0;52.0;59.0;16.0;22.0;22.0;35.0;25.0;20.0;33.0;70.0;52.0;90.0;76.0;36.0;82.0;52.0;69.0;53.0;51.0;43.0;65.0;26.0;59.0;34.0;38.0;36.0;25.0;53.0;21.0;30.0;19.0;47.0;43.0;40.0;45.0;36.0;50.0;65.0;32.0;44.0;42.0
ANXA1;Annexin A1;26.0;65.0;7.0;44.0;60.0;49.0;42.0;13.0;34.0;33.0;38.0;33.0;60.0;38.0;77.0;53.0;68.0;95.0;100.0;58.0;42.0;22.0;31.0;41.0;66.0;34.0;27.0;38.0;42.0;100.0;69.0;20.0;84.0;94.0;92.0;83.0;66.0;65.0;69.0;105.0;35.0;53.0;50.0;71.0;58.0;49.0;68.0;57.0;65.0;71.0;59.0;47.0;76.0;54.0;56.0;24.0;93.0;67.0;66.0;44.0
GAPDH;Glyceraldehyde-3-phosphate dehydrogenase;65.0;121.0;22.0;61.0;57.0;69.0;100.0;44.0;78.0;120.0;92.0;80.0;115.0;97.0;132.0;99.0;139.0;122.0;133.0;95.0;139.0;84.0;73.0;75.0;94.0;76.0;63.0;56.0;106.0;130.0;185.0;72.0;112.0;157.0;137.0;123.0;129.0;136.0;128.0;173.0;72.0;88.0;65.0;99.0;125.0;102.0;107.0;106.0;112.0;125.0;120.0;110.0;134.0;130.0;110.0;153.0;164.0;116.0;124.0;79.0
EEF2;Elongation factor 2;17.0;42.0;0.0;13.0;8.0;11.0;7.0;4.0;2.0;15.0;21.0;13.0;13.0;12.0;47.0;20.0;29.988155;50.0;55.0;17.987247;4.0;22.0;21.0;17.0;47.0;7.0;6.0;20.0;16.0;36.0;0.0;2.0;22.0;35.0;38.0;47.0;34.0;26.993624;28.0;32.0;4.0;11.0;32.0;33.0;17.0;16.0;28.0;22.0;15.0;13.0;23.0;26.0;14.0;18.0;15.0;3.0;43.0;20.0;27.0;19.0
SAMHD1;Deoxynucleoside triphosphate triphosphohydrolase SAMHD1;6.0;30.0;0.0;7.0;22.0;12.0;11.0;0.0;17.0;17.0;23.0;27.0;34.0;28.0;61.0;41.0;34.0;59.0;21.0;16.0;6.0;18.0;19.0;19.0;46.0;22.0;15.0;30.0;32.0;61.0;12.0;12.0;39.0;48.0;57.0;73.0;45.0;56.0;48.0;61.0;3.0;19.0;49.0;22.0;39.0;20.0;49.0;30.0;32.0;33.0;34.0;44.0;51.0;56.0;65.0;15.0;47.0;35.0;28.0;16.0
TUBB;Tubulin beta chain;50.54138;90.24428;0.0;26.678673;57.189293;86.93432;58.17105;17.710999;42.378326;22.57248;65.02854;60.101788;70.0083;73.91283;107.33557;62.258045;83.933815;74.01612;21.8524;26.792158;7.9879518;48.53627;52.452095;58.560387;119.90086;47.66505;52.59802;69.359116;75.393394;102.12739;32.809277;19.87122;51.573944;67.40018;111.9984;109.02777;116.04659;108.25802;103.24786;104.07596;37.77501;25.833385;69.44347;70.57413;63.15015;51.232914;80.98441;71.022385;60.265358;83.836754;71.13769;86.83962;46.302338;78.83401;90.778915;23.76102;102.66873;69.041214;73.24662;39.607666
ENO1;Alpha-enolase;28.851833;55.962837;8.0;26.0;44.849216;30.698433;33.0;10.0;32.0;54.54765;29.698433;38.0;27.0;33.0;65.03982;34.698433;78.64295;75.341385;68.96284;42.962837;30.703669;31.25917;30.851833;28.851833;71.40733;27.0;24.0;31.0;46.851833;45.555504;26.851833;9.851834;41.703667;58.962837;66.25917;53.407337;51.962837;88.51834;76.25917;83.77751;36.407337;35.25917;55.962837;58.51834;44.849216;40.849216;54.0;38.849216;41.698433;32.0;61.849216;51.396866;49.849216;46.0;37.396866;35.246082;77.58746;40.849216;80.341385;33.492165
ACTC1;Actin, alpha cardiac muscle 1;4.683679;8.130543;5.51127;4.5895476;7.0359526;5.109111;8.128979;3.5695395;9.575995;9.372968;8.29469;8.344807;8.621464;10.553427;13.012772;8.09617;6.4531937;8.013385;10.320516;4.946785;6.9167914;6.4505014;7.497995;6.3055944;9.097405;4.3700843;4.512564;4.261385;10.650539;9.945212;9.697178;6.01335;7.2085333;9.101405;13.7077465;9.310803;15.201249;7.4978466;7.460066;10.385361;7.7465973;3.4321463;7.1655426;5.7373867;9.929847;7.1661553;10.111531;16.990677;8.031165;13.8168125;10.173837;9.427593;9.09361;12.9655485;10.93046;10.74488;12.3248;8.349927;9.447461;6.913762
HSP90AA1;Heat shock protein HSP 90-alpha;32.20743;47.37669;11.024495;25.47016;46.308006;52.10247;44.12472;32.49353;40.520275;58.7058;56.915825;32.284634;30.47016;45.313618;59.33474;38.90796;48.12697;53.102474;51.5997;35.768967;10.219233;36.82082;31.384245;41.47663;80.20129;42.036278;33.934452;46.701527;39.432323;58.309258;32.378582;19.155571;51.159348;50.64967;64.361115;49.03628;66.59593;63.76094;59.266838;66.87834;29.549732;24.497873;42.936337;49.828373;43.8902;40.07236;52.759285;32.053482;43.916943;39.86459;54.316986;41.334747;37.101353;40.495777;53.722435;24.679058;60.099106;42.518024;42.684673;41.095737
TPI1;Triosephosphate isomerase;38.0;59.0;61.0;46.0;39.0;41.0;72.0;45.0;51.0;77.0;68.0;56.0;42.0;83.0;84.0;72.0;69.0;75.0;83.0;66.0;95.0;76.0;83.0;51.0;47.0;54.0;36.0;54.0;81.0;26.0;129.0;72.0;87.0;132.0;88.0;86.0;96.0;76.0;73.0;79.0;88.0;19.0;29.0;78.0;74.0;75.0;61.0;54.0;37.0;68.0;57.0;36.0;46.0;73.0;77.0;124.0;102.0;96.0;101.0;35.0
