NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GALNS	galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122]	34	0.3428772985935211	-0.016006427	No	
row_1	CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	51	0.2680804431438446	-0.0043035615	No	
row_2	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	65	0.23193790018558502	0.0077503202	No	
row_3	B4GAT1	"beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]"	76	0.19371294975280762	0.01977991	No	
row_4	GLB1	galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]	111	0.17899495363235474	-0.025763031	No	
row_5	ALDOB	"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"	118	0.1448337435722351	-0.013389624	No	
row_6	GNS	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	150	0.03302637115120888	-0.078375496	No	
row_7	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	155	0.0	-0.08752881	No	
row_8	CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	157	0.0	-0.08981714	No	
row_9	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	169	0.0	-0.11498877	No	
row_10	MUC1	"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]"	175	0.0	-0.1264304	No	
row_11	MUC5B	"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]"	188	-0.046309422701597214	-0.14554402	Yes	
row_12	HYAL1	hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:5320]	189	-0.04728696495294571	-0.13702148	Yes	
row_13	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	193	-0.060936953872442245	-0.13290381	Yes	
row_14	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	194	-0.06650812923908234	-0.12091705	Yes	
row_15	CUBN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]	198	-0.08593987673521042	-0.112293094	Yes	
row_16	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	203	-0.10330546647310257	-0.10282767	Yes	
row_17	BTD	biotinidase [Source:HGNC Symbol;Acc:HGNC:1122]	204	-0.10540925711393356	-0.08382976	Yes	
row_18	NAGLU	N-acetyl-alpha-glucosaminidase [Source:HGNC Symbol;Acc:HGNC:7632]	224	-0.1682678461074829	-0.09698111	Yes	
row_19	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	233	-0.1927049309015274	-0.080556534	Yes	
row_20	HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	234	-0.19371294975280762	-0.04564365	Yes	
row_21	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	253	-0.19371294975280762	-0.051920693	Yes	
row_22	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	256	-0.19371294975280762	-0.021584468	Yes	
row_23	NOTCH3	notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]	289	-0.24025307595729828	-0.0515102	Yes	
row_24	CD320	CD320 molecule [Source:HGNC Symbol;Acc:HGNC:16692]	343	-0.340299129486084	-0.11145955	Yes	
row_25	B4GALT1	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	351	-0.3428772985935211	-0.065681085	Yes	
row_26	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	357	-0.3434707224369049	-0.015219011	Yes	
row_27	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	369	-0.38052985072135925	0.028192258	Yes	
row_28	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	460	-1.0497639179229736	0.011441551	Yes	
