NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	11	0.44716981053352356	0.19464427	Yes	
row_1	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	31	0.3428772985935211	0.32067114	Yes	
row_2	ALDOC	"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"	33	0.3428772985935211	0.48625848	Yes	
row_3	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	58	0.24025307595729828	0.5510777	Yes	
row_4	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	109	0.1884685605764389	0.5334137	Yes	
row_5	ALDOB	"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"	118	0.1448337435722351	0.58670485	Yes	
row_6	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	138	0.08694153279066086	0.587491	Yes	
row_7	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	147	0.04376888647675514	0.59132665	Yes	
row_8	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	174	0.0	0.53418374	No	
row_9	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	195	-0.07083357870578766	0.52488977	No	
row_10	ALDOA	"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"	211	-0.13552618026733398	0.5582417	No	
