NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	6	0.4954984486103058	0.10215774	Yes	
row_1	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	7	0.4954618811607361	0.2176403	Yes	
row_2	APOA2	apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601]	21	0.3834083676338196	0.27811646	Yes	
row_3	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	30	0.3428772985935211	0.34025672	Yes	
row_4	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	65	0.23193790018558502	0.3187614	No	
row_5	LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	141	0.06480099260807037	0.16719858	No	
row_6	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	155	0.0	0.13830969	No	
row_7	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	163	0.0	0.122754134	No	
row_8	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	193	-0.060936953872442245	0.07251291	No	
row_9	CUBN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]	198	-0.08593987673521042	0.08365494	No	
row_10	BTD	biotinidase [Source:HGNC Symbol;Acc:HGNC:1122]	204	-0.10540925711393356	0.09711268	No	
row_11	GCHFR	GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]	237	-0.19371294975280762	0.0711523	No	
row_12	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	256	-0.19371294975280762	0.07630303	No	
row_13	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	301	-0.24660193920135498	0.036003374	No	
row_14	CD320	CD320 molecule [Source:HGNC Symbol;Acc:HGNC:16692]	343	-0.340299129486084	0.024209382	No	
row_15	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	460	-1.0497639179229736	0.011111198	No	
