NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	16	0.4097476005554199	0.058803312	Yes	
row_1	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	20	0.3834083676338196	0.14042997	Yes	
row_2	ZNF233	zinc finger protein 233 [Source:HGNC Symbol;Acc:HGNC:30946]	39	0.3217311501502991	0.17451994	Yes	
row_3	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	48	0.29230356216430664	0.22405538	Yes	
row_4	RETN	resistin [Source:HGNC Symbol;Acc:HGNC:20389]	54	0.25228264927864075	0.27104127	Yes	
row_5	AIFM2	apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]	79	0.19371294975280762	0.26231718	Yes	
row_6	H2BC3	H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]	92	0.19371294975280762	0.2802598	Yes	
row_7	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	124	0.1251135915517807	0.24018271	No	
row_8	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	163	0.0	0.15573826	No	
row_9	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	194	-0.06650812923908234	0.10438745	No	
row_10	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	271	-0.20178043842315674	-0.018034372	No	
row_11	NOTCH3	notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]	289	-0.24025307595729828	-4.853867E-4	No	
row_12	TXN	thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]	342	-0.3379543721675873	-0.038215004	No	
row_13	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	369	-0.38052985072135925	-0.008362332	No	
row_14	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	376	-0.39751994609832764	0.06984735	No	
row_15	SERPINB13	serpin family B member 13 [Source:HGNC Symbol;Acc:HGNC:8944]	410	-0.5458796620368958	0.1222221	No	
