SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
IGHV3-7,immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620],4,0.546,0.0923,Yes
APOA1,apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600],7,0.495,0.1798,Yes
HPX,hemopexin [Source:HGNC Symbol;Acc:HGNC:5171],26,0.363,0.2069,Yes
IGLV3-21,immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905],40,0.322,0.2374,Yes
HBA1,hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823],49,0.287,0.2728,Yes
HBB,hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827],56,0.246,0.3050,Yes
COL4A2,collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203],98,0.194,0.2490,No
ALB,albumin [Source:HGNC Symbol;Acc:HGNC:399],116,0.148,0.2383,No
IGHV3-23,immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588],126,0.116,0.2396,No
IGKV3-15,immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816],151,0.030,0.1913,No
APOE,apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613],163,0.000,0.1667,No
IGKV3D-20,immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825],192,-0.060,0.1151,No
IGKV3-20,immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817],212,-0.137,0.0979,No
IGHA1,immunoglobulin heavy constant alpha 1 [Source:HGNC Symbol;Acc:HGNC:5478],225,-0.169,0.1023,No
IGKV1-33,immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737],268,-0.194,0.0441,No
HP,haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141],320,-0.282,-0.0179,No
IGKV2-28,immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783],345,-0.342,-0.0083,No
JCHAIN,joining chain of multimeric IgA and IgM [Source:HGNC Symbol;Acc:HGNC:5713],373,-0.389,0.0034,No
IGKV3-11,immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815],395,-0.483,0.0459,No
AMBP,alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453],422,-0.586,0.0964,No
