SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
IGHV3-7,immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620],4,0.546,0.1207,Yes
C4A,complement C4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323],8,0.477,0.2275,Yes
IGLV3-21,immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905],40,0.322,0.2352,Yes
IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker) [Source:HGNC Symbol;Acc:HGNC:5526],117,0.146,0.1012,No
IGHV3-23,immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588],126,0.116,0.1110,No
C3,complement C3 [Source:HGNC Symbol;Acc:HGNC:1318],137,0.093,0.1111,No
IGKV3-15,immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816],151,0.030,0.0893,No
IGKV3D-20,immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825],192,-0.060,0.0149,No
IGKV3-20,immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817],212,-0.137,0.0053,No
IGKV1-33,immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737],268,-0.194,-0.0706,No
IGHG4,immunoglobulin heavy constant gamma 4 (G4m marker) [Source:HGNC Symbol;Acc:HGNC:5528],326,-0.314,-0.1225,No
IGKV2-28,immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783],345,-0.342,-0.0812,No
C4B,complement C4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324],379,-0.403,-0.0587,No
IGKV3-11,immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815],395,-0.483,0.0228,No
MASP2,MBL associated serine protease 2 [Source:HGNC Symbol;Acc:HGNC:6902],411,-0.548,0.1197,No
