SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141],11,0.447,0.0475,Yes
PKM,pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021],31,0.343,0.0595,Yes
ALDOC,"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]",33,0.343,0.1130,Yes
GALNS,galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122],34,0.343,0.1689,Yes
GOT1,glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432],58,0.240,0.1549,Yes
GPC3,glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451],65,0.232,0.1789,Yes
B4GAT1,"beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]",76,0.194,0.1873,Yes
MAN2B2,mannosidase alpha class 2B member 2 [Source:HGNC Symbol;Acc:HGNC:29623],101,0.194,0.1635,Yes
ENO1,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],109,0.188,0.1780,Yes
GLB1,galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298],111,0.179,0.2049,Yes
ALDOB,"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]",118,0.145,0.2146,Yes
ENO3,enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354],138,0.087,0.1849,Yes
PGK1,phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896],147,0.044,0.1736,Yes
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422],150,0.033,0.1743,Yes
AGRN,agrin [Source:HGNC Symbol;Acc:HGNC:329],155,0.000,0.1651,Yes
CSPG4,chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466],157,0.000,0.1628,Yes
MANBA,mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831],166,0.000,0.1443,Yes
FBP1,fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606],174,0.000,0.1281,Yes
CD44,CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681],180,-0.022,0.1202,Yes
HYAL1,hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:5320],189,-0.047,0.1094,Yes
SDC1,syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658],193,-0.061,0.1124,Yes
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458],194,-0.067,0.1232,Yes
TPI1,triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009],195,-0.071,0.1348,Yes
ALDOA,"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",211,-0.136,0.1222,Yes
NAGLU,N-acetyl-alpha-glucosaminidase [Source:HGNC Symbol;Acc:HGNC:7632],224,-0.168,0.1219,Yes
GAA,alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065],233,-0.193,0.1349,Yes
HEXA,hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878],234,-0.194,0.1664,Yes
PGLS,6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903],246,-0.194,0.1726,Yes
TALDO1,transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559],253,-0.194,0.1903,Yes
GPC4,glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452],256,-0.194,0.2172,Yes
ALDH1A1,aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402],265,-0.194,0.2303,Yes
B4GALT1,"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]",351,-0.343,0.0899,No
HSPG2,heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273],460,-1.050,0.0115,No
