SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
GC,GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187],0,0.719,0.1019,Yes
APOA1,apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600],7,0.495,0.1585,Yes
SERPINA6,serpin family A member 6 [Source:HGNC Symbol;Acc:HGNC:1540],15,0.414,0.2012,Yes
GM2A,GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367],17,0.407,0.2566,Yes
APOA2,apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601],21,0.383,0.3041,Yes
CTSA,cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251],51,0.268,0.2763,Yes
ASAH1,N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735],55,0.246,0.3043,Yes
SLC44A4,solute carrier family 44 member 4 [Source:HGNC Symbol;Acc:HGNC:13941],60,0.240,0.3293,Yes
OSBPL3,oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370],83,0.194,0.3069,No
DBI,"diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]",103,0.194,0.2912,No
GLB1,galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298],111,0.179,0.3007,No
ALB,albumin [Source:HGNC Symbol;Acc:HGNC:399],116,0.148,0.3125,No
PSAP,prosaposin [Source:HGNC Symbol;Acc:HGNC:9498],123,0.126,0.3167,No
LRP2,LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694],141,0.065,0.2874,No
GGT1,gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250],169,0.000,0.2261,No
CUBN,cubilin [Source:HGNC Symbol;Acc:HGNC:2548],198,-0.086,0.1748,No
ARSA,arylsulfatase A [Source:HGNC Symbol;Acc:HGNC:713],223,-0.168,0.1442,No
HEXA,hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878],234,-0.194,0.1489,No
ACSL6,acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496],252,-0.194,0.1378,No
THRAP3,thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964],264,-0.194,0.1403,No
FABP5,fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560],311,-0.263,0.0732,No
CYP4F2,cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645],333,-0.322,0.0711,No
DPEP1,dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002],350,-0.343,0.0834,No
GLA,galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296],353,-0.343,0.1275,No
PTGDS,prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592],459,-0.877,0.0136,No
