SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
IGHV3-7,immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620],4,0.546,0.0368,Yes
APOA1,apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600],7,0.495,0.0741,Yes
TF,transferrin [Source:HGNC Symbol;Acc:HGNC:11740],9,0.476,0.1122,Yes
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851],16,0.410,0.1328,Yes
SERPINA1,serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941],23,0.375,0.1504,Yes
HPX,hemopexin [Source:HGNC Symbol;Acc:HGNC:5171],26,0.363,0.1765,Yes
IGLV3-21,immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905],40,0.322,0.1730,Yes
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855],48,0.292,0.1813,Yes
HBA1,hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823],49,0.287,0.2056,Yes
CTSZ,cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547],52,0.261,0.2231,Yes
HBB,hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827],56,0.246,0.2368,Yes
VTA1,vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954],63,0.240,0.2430,Yes
CTSC,cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528],90,0.194,0.1980,No
DYNC1H1,dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961],91,0.194,0.2144,No
COL4A2,collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203],98,0.194,0.2167,No
ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132],112,0.176,0.2009,No
ALB,albumin [Source:HGNC Symbol;Acc:HGNC:399],116,0.148,0.2063,No
IGHV3-23,immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588],126,0.116,0.1949,No
LRP2,LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694],141,0.065,0.1673,No
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422],150,0.033,0.1512,No
IGKV3-15,immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816],151,0.030,0.1537,No
APOE,apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613],163,0.000,0.1277,No
HSPA8,heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241],173,0.000,0.1064,No
IGKV3D-20,immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825],192,-0.060,0.0690,No
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458],194,-0.067,0.0722,No
IGKV3-20,immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817],212,-0.137,0.0437,No
FOLR1,folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791],222,-0.168,0.0366,No
IGHA1,immunoglobulin heavy constant alpha 1 [Source:HGNC Symbol;Acc:HGNC:5478],225,-0.169,0.0462,No
EGF,epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229],229,-0.182,0.0545,No
MYH9,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],266,-0.194,-0.0141,No
IGKV1-33,immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737],268,-0.194,-0.0001,No
CHMP5,charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942],295,-0.240,-0.0411,No
HP,haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141],320,-0.282,-0.0739,No
IGKV2-28,immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783],345,-0.342,-0.1017,No
CD55,CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665],363,-0.359,-0.1114,No
MAN1A1,mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821],371,-0.383,-0.0954,No
JCHAIN,joining chain of multimeric IgA and IgM [Source:HGNC Symbol;Acc:HGNC:5713],373,-0.389,-0.0648,No
CTTN,cortactin [Source:HGNC Symbol;Acc:HGNC:3338],382,-0.413,-0.0486,No
IGKV3-11,immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815],395,-0.483,-0.0360,No
LMAN2,"lectin, mannose binding 2 [Source:HGNC Symbol;Acc:HGNC:16986]",401,-0.505,-0.0049,No
APP,amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620],408,-0.541,0.0267,No
AMBP,alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453],422,-0.586,0.0457,No
CD59,CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689],435,-0.631,0.0709,No
