NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	42	0.3217311501502991	-0.029199619	No	
row_1	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	89	0.19371294975280762	-0.09301268	No	
row_2	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	112	0.17565980553627014	-0.1068764	No	
row_3	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	120	0.13552618026733398	-0.095310174	No	
row_4	CNTN1	contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]	122	0.13552618026733398	-0.07035108	No	
row_5	MADCAM1	mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]	133	0.10182692855596542	-0.07224251	No	
row_6	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	177	-0.01239912398159504	-0.16573697	No	
row_7	PCDH1	protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]	250	-0.19371294975280762	-0.28758577	Yes	
row_8	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	262	-0.19371294975280762	-0.27327383	Yes	
row_9	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	266	-0.19371294975280762	-0.24110474	Yes	
row_10	NECTIN2	nectin cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:9707]	272	-0.20178043842315674	-0.21178132	Yes	
row_11	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	281	-0.21804895997047424	-0.18589032	Yes	
row_12	ICAM2	intercellular adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:5345]	282	-0.22072672843933105	-0.1416049	Yes	
row_13	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	344	-0.340299129486084	-0.20948987	Yes	
row_14	B4GALT1	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	351	-0.3428772985935211	-0.1540897	Yes	
row_15	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	412	-0.5482311248779297	-0.17802417	Yes	
row_16	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	440	-0.6674237847328186	-0.10438377	Yes	
row_17	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	456	-0.7872781753540039	0.02008929	Yes	
