NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	32	0.3428772985935211	0.0069934204	No	
row_1	MUC1	"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]"	175	0.0	-0.3050945	No	
row_2	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	180	-0.02198762074112892	-0.30892724	No	
row_3	ENDOD1	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]	231	-0.18519386649131775	-0.37705383	No	
row_4	TFF1	trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755]	287	-0.23212411999702454	-0.4455861	No	
row_5	B4GALT1	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	351	-0.3428772985935211	-0.50672454	Yes	
row_6	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	353	-0.3428772985935211	-0.43159923	Yes	
row_7	KRT15	keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]	414	-0.552937388420105	-0.43877313	Yes	
row_8	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	426	-0.5971938371658325	-0.3282743	Yes	
row_9	KRT13	keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]	450	-0.7447651624679565	-0.21086995	Yes	
row_10	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	461	-1.071510672569275	0.008791012	Yes	
