NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	23	0.3746103346347809	0.039630055	No	
row_1	SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	113	0.17544303834438324	-0.11488128	No	
row_2	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	114	0.17206420004367828	-0.07330636	No	
row_3	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	176	0.0	-0.20826212	No	
row_4	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	177	-0.01239912398159504	-0.20526618	No	
row_5	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	180	-0.02198762074112892	-0.20437822	No	
row_6	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	182	-0.03053366206586361	-0.19921292	No	
row_7	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	201	-0.10040406882762909	-0.21477586	No	
row_8	TFF1	trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755]	287	-0.23212411999702454	-0.3467421	No	
row_9	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	311	-0.26274117827415466	-0.33414236	No	
row_10	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	353	-0.3428772985935211	-0.34200278	No	
row_11	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	426	-0.5971938371658325	-0.35699818	Yes	
row_12	KRT13	keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]	450	-0.7447651624679565	-0.22792968	Yes	
row_13	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	461	-1.071510672569275	0.008849594	Yes	
