NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	64	0.23717083036899567	-0.082822874	No	
row_1	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	65	0.23193790018558502	-0.026564173	No	
row_2	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	96	0.19371294975280762	-0.045366764	No	
row_3	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	191	-0.05732160061597824	-0.23760323	No	
row_4	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	363	-0.359403133392334	-0.5254266	Yes	
row_5	MEP1A	meprin A subunit alpha [Source:HGNC Symbol;Acc:HGNC:7015]	402	-0.5148944854736328	-0.48386753	Yes	
row_6	AXL	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	409	-0.5419161319732666	-0.3655786	Yes	
row_7	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	425	-0.5912763476371765	-0.25505373	Yes	
row_8	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	444	-0.692038893699646	-0.12666692	Yes	
row_9	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	447	-0.7030303478240967	0.039473694	Yes	
