NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	1	0.5558423399925232	0.09604018	No	
row_1	ACP2	"acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]"	14	0.4287143051624298	0.14510652	No	
row_2	SERPINA6	serpin family A member 6 [Source:HGNC Symbol;Acc:HGNC:1540]	15	0.41402748227119446	0.21830243	No	
row_3	ENPEP	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	153	0.0	-0.08682007	No	
row_4	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	163	0.0	-0.10686462	No	
row_5	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	174	0.0	-0.12913634	No	
row_6	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	196	-0.07665573805570602	-0.16235498	No	
row_7	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	226	-0.17843712866306305	-0.19539705	No	
row_8	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	249	-0.19371294975280762	-0.21014832	No	
row_9	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	301	-0.24660193920135498	-0.2801373	No	
row_10	CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]	333	-0.3217311501502991	-0.2923008	Yes	
row_11	LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	338	-0.3217311501502991	-0.24433063	Yes	
row_12	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	371	-0.3834083676338196	-0.24781737	Yes	
row_13	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169]	394	-0.48174625635147095	-0.21164723	Yes	
row_14	REG1A	regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]	406	-0.5358210206031799	-0.14141834	Yes	
row_15	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	436	-0.6407332420349121	-0.09273109	Yes	
row_16	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	459	-0.8772662281990051	0.013363016	Yes	
