SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
HBD,hemoglobin subunit delta [Source:HGNC Symbol;Acc:HGNC:4829],25,0.366,0.1171,Yes
LAMP2,lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501],36,0.339,0.2544,Yes
HBB,hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827],56,0.246,0.3282,Yes
CA1,carbonic anhydrase 1 [Source:HGNC Symbol;Acc:HGNC:1368],104,0.194,0.3159,Yes
PRDX2,peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353],124,0.125,0.3329,Yes
C3,complement C3 [Source:HGNC Symbol;Acc:HGNC:1318],137,0.093,0.3505,Yes
CTSB,cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527],139,0.084,0.3880,Yes
BCAM,basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722],152,0.000,0.3615,Yes
SDCBP,syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662],206,-0.105,0.2944,Yes
ENDOD1,endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129],231,-0.185,0.3287,Yes
PGLS,6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903],246,-0.194,0.3890,Yes
ACSL6,acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496],252,-0.194,0.4692,Yes
