SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141],11,0.447,0.1755,Yes
PRDX1,peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352],20,0.383,0.3291,Yes
GOT1,glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432],58,0.240,0.3550,Yes
CTSC,cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528],90,0.194,0.3734,Yes
ENO1,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],109,0.188,0.4180,Yes
PGK1,phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896],147,0.044,0.3562,No
CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709],176,0.000,0.2947,No
TPI1,triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009],195,-0.071,0.2867,No
ALDOA,"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",211,-0.136,0.3143,No
GLRX,glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330],248,-0.194,0.3216,No
GLA,galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296],353,-0.343,0.2462,No
