NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	47	0.3058677017688751	0.02417598	Yes	
row_1	RETN	resistin [Source:HGNC Symbol;Acc:HGNC:20389]	54	0.25228264927864075	0.115971945	Yes	
row_2	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	72	0.19371294975280762	0.15927912	Yes	
row_3	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	137	0.09349644929170609	0.05782436	No	
row_4	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	163	0.0	0.0029997947	No	
row_5	ALDOA	"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"	211	-0.13552618026733398	-0.04368919	No	
row_6	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	253	-0.19371294975280762	-0.053013593	No	
row_7	SPARCL1	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	288	-0.24025307595729828	-0.027625635	No	
row_8	COL15A1	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	385	-0.4330539107322693	-0.057994172	No	
row_9	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	415	-0.5558423399925232	0.10964919	No	
