NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	19	0.39058732986450195	0.014198977	Yes	
row_1	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	23	0.3746103346347809	0.06265193	Yes	
row_2	CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	28	0.359403133392334	0.10657094	Yes	
row_3	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	30	0.3428772985935211	0.1549146	Yes	
row_4	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	36	0.3386485278606415	0.19348049	Yes	
row_5	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	89	0.19371294975280762	0.10309256	No	
row_6	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	90	0.19371294975280762	0.13169776	No	
row_7	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	98	0.19371294975280762	0.14428465	No	
row_8	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	114	0.17206420004367828	0.13536808	No	
row_9	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	115	0.14819487929344177	0.15725172	No	
row_10	KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	127	0.11498793214559555	0.14906012	No	
row_11	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	137	0.09349644929170609	0.14227158	No	
row_12	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	139	0.08440309017896652	0.15244688	No	
row_13	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	140	0.07277202606201172	0.16319299	No	
row_14	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	142	0.06324554979801178	0.170244	No	
row_15	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	143	0.05608357861638069	0.17852575	No	
row_16	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	182	-0.03053366206586361	0.09607807	No	
row_17	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	184	-0.03339233994483948	0.098720714	No	
row_18	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	217	-0.14403080940246582	0.046762913	No	
row_19	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	226	-0.17843712866306305	0.054805722	No	
row_20	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	235	-0.19371294975280762	0.06510428	No	
row_21	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	249	-0.19371294975280762	0.0639612	No	
row_22	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	284	-0.22745375335216522	0.01974563	No	
row_23	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	303	-0.2513008117675781	0.015664775	No	
row_24	CPM	carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]	346	-0.34172359108924866	-0.029983435	No	
row_25	F2	"coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]"	361	-0.35386425256729126	-0.009765635	No	
row_26	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	363	-0.359403133392334	0.04101836	No	
row_27	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	435	-0.6311374306678772	-0.028254252	No	
row_28	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	436	-0.6407332420349121	0.066361524	No	
