NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	72	0.19371294975280762	-0.14892416	No	
row_1	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	75	0.19371294975280762	-0.13655798	No	
row_2	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	98	0.19371294975280762	-0.17027476	No	
row_3	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	164	0.0	-0.32004434	No	
row_4	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	180	-0.02198762074112892	-0.35267985	No	
row_5	ACTA2	"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"	185	-0.037250593304634094	-0.3586323	No	
row_6	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	191	-0.05732160061597824	-0.3651301	No	
row_7	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	193	-0.060936953872442245	-0.36209455	No	
row_8	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	218	-0.15511830151081085	-0.40380153	No	
row_9	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	230	-0.18357336521148682	-0.4130612	No	
row_10	SFRP4	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	254	-0.19371294975280762	-0.4490821	No	
row_11	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	263	-0.19371294975280762	-0.45054084	No	
row_12	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	271	-0.20178043842315674	-0.44898847	No	
row_13	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	284	-0.22745375335216522	-0.45670718	No	
row_14	VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	297	-0.24025307595729828	-0.4633043	No	
row_15	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	319	-0.27908313274383545	-0.4872362	No	
row_16	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	344	-0.340299129486084	-0.5127164	Yes	
row_17	COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]	347	-0.3428772985935211	-0.48727942	Yes	
row_18	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	355	-0.3430342376232147	-0.47334942	Yes	
row_19	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	364	-0.36165329813957214	-0.46009204	Yes	
row_20	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	369	-0.38052985072135925	-0.43596396	Yes	
row_21	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	376	-0.39751994609832764	-0.4149554	Yes	
row_22	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	389	-0.4654833972454071	-0.4018163	Yes	
row_23	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	392	-0.4762645959854126	-0.36469102	Yes	
row_24	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	412	-0.5482311248779297	-0.36043	Yes	
row_25	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	417	-0.5583490133285522	-0.3207202	Yes	
row_26	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	418	-0.5613654851913452	-0.2715295	Yes	
row_27	ANPEP	"alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]"	421	-0.5791477560997009	-0.22538885	Yes	
row_28	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	435	-0.6311374306678772	-0.20003815	Yes	
row_29	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	440	-0.6674237847328186	-0.15077046	Yes	
row_30	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	458	-0.8664816617965698	-0.11401386	Yes	
row_31	QSOX1	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	465	-1.4588981866836548	-1.1990778E-8	Yes	
