NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	5	0.5297516584396362	0.15423797	Yes	
row_1	GM2A	GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367]	17	0.4065797030925751	0.25690693	Yes	
row_2	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	75	0.19371294975280762	0.19231623	No	
row_3	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	184	-0.03339233994483948	-0.034112483	No	
row_4	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	193	-0.060936953872442245	-0.032653175	No	
row_5	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	217	-0.14403080940246582	-0.038175806	No	
row_6	SERPINB5	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	236	-0.19371294975280762	-0.01724017	No	
row_7	PROCR	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	381	-0.4118212163448334	-0.20460333	No	
row_8	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	408	-0.5406954288482666	-0.09300518	No	
row_9	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	444	-0.692038893699646	0.046052538	No	
