NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	32	-0.5425357	-1.8674225	0.0019880715	0.03284515	0.025	123	tags=50%, list=26%, signal=63%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	10	-0.61260325	-1.6598532	0.012219959	0.1173817	0.152	104	tags=60%, list=22%, signal=76%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	11	-0.51194364	-1.4036773	0.10141988	0.45125684	0.519	59	tags=36%, list=13%, signal=41%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	12	-0.43442294	-1.4001776	0.084812626	0.34281558	0.523	101	tags=33%, list=22%, signal=41%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	11	-0.5840476	-1.3823758	0.13502109	0.29790848	0.551	116	tags=55%, list=25%, signal=71%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	14	-0.5012948	-1.3490107	0.15082644	0.29040372	0.598	41	tags=21%, list=9%, signal=23%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	20	-0.40624905	-1.3382915	0.107942976	0.26177117	0.608	108	tags=35%, list=23%, signal=44%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	19	-0.30025575	-1.147813	0.25510204	0.49803606	0.797	219	tags=68%, list=47%, signal=124%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	18	-0.32645127	-1.0548139	0.36491936	0.5969271	0.868	217	tags=61%, list=47%, signal=110%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	14	-0.41742215	-1.0147189	0.48080808	0.6080793	0.895	53	tags=29%, list=11%, signal=31%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	10	-0.33302966	-0.9818288	0.47435898	0.60470724	0.91	86	tags=30%, list=18%, signal=36%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	21	-0.29735127	-0.95870143	0.52716297	0.5863172	0.914	38	tags=10%, list=8%, signal=10%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	17	-0.34917963	-0.9156114	0.58592135	0.6005621	0.931	134	tags=41%, list=29%, signal=56%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	19	-0.24010077	-0.703362	0.78119004	0.85004777	0.983	6	tags=5%, list=1%, signal=5%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	10	-0.23815195	-0.6755105	0.819802	0.82374585	0.983	82	tags=20%, list=18%, signal=24%	
