NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGHV3-7	immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620]	4	0.5455996990203857	0.15379223	Yes	
row_1	IGLV3-21	immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905]	40	0.3217311501502991	0.17210568	Yes	
row_2	IGHG2	immunoglobulin heavy constant gamma 2 (G2m marker) [Source:HGNC Symbol;Acc:HGNC:5526]	117	0.14557477831840515	0.04699195	No	
row_3	IGHV3-23	immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588]	126	0.11588180810213089	0.06380182	No	
row_4	IGKV3-15	immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816]	151	0.02968350425362587	0.01943638	No	
row_5	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	169	0.0	-0.018257633	No	
row_6	IGKV3D-20	immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825]	192	-0.06038494035601616	-0.04903536	No	
row_7	FCGR3A	Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]	208	-0.1298365741968155	-0.043586183	No	
row_8	IGKV3-20	immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]	212	-0.1367180496454239	-0.009477867	No	
row_9	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	266	-0.19371294975280762	-0.069242224	No	
row_10	IGKV1-33	immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737]	268	-0.19371294975280762	-0.013707243	No	
row_11	IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker) [Source:HGNC Symbol;Acc:HGNC:5528]	326	-0.3139193654060364	-0.046503246	No	
row_12	IGKV2-28	immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783]	345	-0.3415651321411133	0.015417375	No	
row_13	DPEP1	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	350	-0.3428772985935211	0.108771324	No	
row_14	IGKV3-11	immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815]	395	-0.48300623893737793	0.15521058	No	
