NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	7	0.4954618811607361	0.087223455	Yes	
row_1	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	16	0.4097476005554199	0.15438884	Yes	
row_2	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	20	0.3834083676338196	0.22731707	Yes	
row_3	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	45	0.3091617226600647	0.2376263	Yes	
row_4	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	47	0.3058677017688751	0.29893646	Yes	
row_5	HBA1	hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	49	0.2872796058654785	0.3563841	Yes	
row_6	HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	56	0.24573661386966705	0.39396346	Yes	
row_7	CREB3L3	cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]	73	0.19371294975280762	0.39826068	Yes	
row_8	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	91	0.19371294975280762	0.40031075	Yes	
row_9	H2BC3	H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]	92	0.19371294975280762	0.44056305	Yes	
row_10	ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	116	0.14769475162029266	0.41956767	Yes	
row_11	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	121	0.13552618026733398	0.4387404	Yes	
row_12	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	124	0.1251135915517807	0.46024382	Yes	
row_13	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	132	0.10540925711393356	0.46641684	Yes	
row_14	TPP1	tripeptidyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:2073]	144	0.05580490082502365	0.45329362	No	
row_15	SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	148	0.034655842930078506	0.45375332	No	
row_16	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	173	0.0	0.39982074	No	
row_17	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	194	-0.06650812923908234	0.36869687	No	
row_18	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	286	-0.23015721142292023	0.21202768	No	
row_19	TXN	thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]	342	-0.3379543721675873	0.15865692	No	
row_20	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	415	-0.5558423399925232	0.11235963	No	
