NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	112	0.17565980553627014	-0.18269162	No	
row_1	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	120	0.13552618026733398	-0.14911345	No	
row_2	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	177	-0.01239912398159504	-0.26771083	No	
row_3	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	191	-0.05732160061597824	-0.27557316	No	
row_4	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	217	-0.14403080940246582	-0.27848288	No	
row_5	NECTIN2	nectin cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:9707]	272	-0.20178043842315674	-0.32426512	Yes	
row_6	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	281	-0.21804895997047424	-0.263071	Yes	
row_7	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	344	-0.340299129486084	-0.27639174	Yes	
row_8	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	355	-0.3430342376232147	-0.17443864	Yes	
row_9	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	389	-0.4654833972454071	-0.07879665	Yes	
row_10	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	441	-0.6743589639663696	0.05274729	Yes	
