NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGHV3-7	immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620]	4	0.5455996990203857	0.065605745	No	
row_1	C4A	complement C4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]	8	0.47735795378685	0.12414141	No	
row_2	IGLV3-21	immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905]	40	0.3217311501502991	0.09773425	No	
row_3	ELANE	"elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]"	70	0.20178043842315674	0.059450407	No	
row_4	CFHR1	complement factor H related 1 [Source:HGNC Symbol;Acc:HGNC:4888]	93	0.19371294975280762	0.03597115	No	
row_5	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	115	0.14819487929344177	0.0085328575	No	
row_6	IGHG2	immunoglobulin heavy constant gamma 2 (G2m marker) [Source:HGNC Symbol;Acc:HGNC:5526]	117	0.14557477831840515	0.0261904	No	
row_7	IGHV3-23	immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588]	126	0.11588180810213089	0.023873663	No	
row_8	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	137	0.09349644929170609	0.013946749	No	
row_9	IGKV3-15	immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816]	151	0.02968350425362587	-0.011534812	No	
row_10	IGKV3D-20	immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825]	192	-0.06038494035601616	-0.094176754	No	
row_11	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	196	-0.07665573805570602	-0.0905002	No	
row_12	IGKV3-20	immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]	212	-0.1367180496454239	-0.10587338	No	
row_13	CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	216	-0.1417974829673767	-0.09327844	No	
row_14	IGKV1-33	immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737]	268	-0.19371294975280762	-0.18266678	No	
row_15	C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	278	-0.2152910679578781	-0.17364638	No	
row_16	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	303	-0.2513008117675781	-0.19378689	No	
row_17	IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker) [Source:HGNC Symbol;Acc:HGNC:5528]	326	-0.3139193654060364	-0.20080899	Yes	
row_18	IGKV2-28	immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783]	345	-0.3415651321411133	-0.19495527	Yes	
row_19	F2	"coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]"	361	-0.35386425256729126	-0.18059954	Yes	
row_20	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	363	-0.359403133392334	-0.1336673	Yes	
row_21	C4B	complement C4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324]	379	-0.4029175341129303	-0.112595804	Yes	
row_22	IGKV3-11	immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815]	395	-0.48300623893737793	-0.080559574	Yes	
row_23	CPN2	carboxypeptidase N subunit 2 [Source:HGNC Symbol;Acc:HGNC:2313]	404	-0.5213649868965149	-0.027362652	Yes	
row_24	MASP2	MBL associated serine protease 2 [Source:HGNC Symbol;Acc:HGNC:6902]	411	-0.5481523871421814	0.034047123	Yes	
row_25	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	435	-0.6311374306678772	0.0681818	Yes	
