NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	51	0.2680804431438446	-0.04135178	No	
row_1	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	65	0.23193790018558502	-0.00796365	No	
row_2	B4GAT1	"beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]"	76	0.19371294975280762	0.021827469	No	
row_3	GLB1	galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]	111	0.17899495363235474	-0.005666636	No	
row_4	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	155	0.0	-0.101222195	No	
row_5	CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	157	0.0	-0.10344441	No	
row_6	MUC1	"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]"	175	0.0	-0.1412222	No	
row_7	MUC5B	"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]"	188	-0.046309422701597214	-0.15545444	No	
row_8	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	193	-0.060936953872442245	-0.14798132	No	
row_9	HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	234	-0.19371294975280762	-0.18485686	No	
row_10	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	256	-0.19371294975280762	-0.17951019	No	
row_11	NOTCH3	notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]	289	-0.24025307595729828	-0.1861116	No	
row_12	B4GALT1	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	351	-0.3428772985935211	-0.2296021	Yes	
row_13	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	357	-0.3434707224369049	-0.14848882	Yes	
row_14	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	369	-0.38052985072135925	-0.070758216	Yes	
row_15	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	460	-1.0497639179229736	0.0111110695	Yes	
