NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	98	0.19371294975280762	-0.17393485	No	
row_1	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	146	0.05070947855710983	-0.26669234	No	
row_2	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	155	0.0	-0.28439146	No	
row_3	PTPRS	protein tyrosine phosphatase receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]	165	0.0	-0.30430296	No	
row_4	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	196	-0.07665573805570602	-0.35370654	No	
row_5	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	230	-0.18357336521148682	-0.3860805	No	
row_6	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	284	-0.22745375335216522	-0.45298913	No	
row_7	MATN4	matrilin 4 [Source:HGNC Symbol;Acc:HGNC:6910]	324	-0.3078475296497345	-0.47112873	Yes	
row_8	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	357	-0.3434707224369049	-0.46589628	Yes	
row_9	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	364	-0.36165329813957214	-0.39911687	Yes	
row_10	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	408	-0.5406954288482666	-0.37456402	Yes	
row_11	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	417	-0.5583490133285522	-0.2686698	Yes	
row_12	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	432	-0.6237465739250183	-0.16157389	Yes	
row_13	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	460	-1.0497639179229736	0.011062014	Yes	
