NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT9	keratin 9 [Source:HGNC Symbol;Acc:HGNC:6447]	2	0.5512030124664307	0.033345554	No	
row_1	CASP14	caspase 14 [Source:HGNC Symbol;Acc:HGNC:1502]	3	0.5482311248779297	0.071137406	No	
row_2	KRT77	keratin 77 [Source:HGNC Symbol;Acc:HGNC:20411]	12	0.4383458197116852	0.082749754	No	
row_3	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	32	0.3428772985935211	0.062199667	No	
row_4	KRT10	keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413]	66	0.23085972666740417	0.0013696048	No	
row_5	SPRR2E	small proline rich protein 2E [Source:HGNC Symbol;Acc:HGNC:11265]	161	0.0	-0.21723504	No	
row_6	KLK13	kallikrein related peptidase 13 [Source:HGNC Symbol;Acc:HGNC:6361]	167	0.0	-0.22886296	No	
row_7	KRT6B	keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444]	170	0.0	-0.23351412	No	
row_8	KRT72	keratin 72 [Source:HGNC Symbol;Acc:HGNC:28932]	171	0.0	-0.23351412	No	
row_9	DSG3	desmoglein 3 [Source:HGNC Symbol;Acc:HGNC:3050]	187	-0.04264329746365547	-0.26545826	No	
row_10	IVL	involucrin [Source:HGNC Symbol;Acc:HGNC:6187]	197	-0.07673069834709167	-0.2810991	No	
row_11	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	255	-0.19371294975280762	-0.4003038	No	
row_12	KRT80	keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]	267	-0.19371294975280762	-0.41253176	No	
row_13	KRT2	keratin 2 [Source:HGNC Symbol;Acc:HGNC:6439]	273	-0.20303744077682495	-0.41016346	No	
row_14	SPRR3	small proline rich protein 3 [Source:HGNC Symbol;Acc:HGNC:11268]	299	-0.24557262659072876	-0.45137465	No	
row_15	KRT78	keratin 78 [Source:HGNC Symbol;Acc:HGNC:28926]	302	-0.24928347766399384	-0.43884167	No	
row_16	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	340	-0.3269822895526886	-0.50234795	Yes	
row_17	SPINK5	serine peptidase inhibitor Kazal type 5 [Source:HGNC Symbol;Acc:HGNC:15464]	341	-0.334546834230423	-0.47928622	Yes	
row_18	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	349	-0.3428772985935211	-0.47192934	Yes	
row_19	SPRR2A	small proline rich protein 2A [Source:HGNC Symbol;Acc:HGNC:11261]	360	-0.35304418206214905	-0.47084835	Yes	
row_20	KRT73	keratin 73 [Source:HGNC Symbol;Acc:HGNC:28928]	365	-0.3674244284629822	-0.45482257	Yes	
row_21	PI3	peptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:8947]	383	-0.41914138197898865	-0.4654643	Yes	
row_22	KRT15	keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]	414	-0.552937388420105	-0.49711546	Yes	
row_23	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	416	-0.5580711960792542	-0.46097088	Yes	
row_24	SPRR2F	small proline rich protein 2F [Source:HGNC Symbol;Acc:HGNC:11266]	419	-0.5665698051452637	-0.42656603	Yes	
row_25	SPRR2B	small proline rich protein 2B [Source:HGNC Symbol;Acc:HGNC:11262]	423	-0.5869113206863403	-0.39308453	Yes	
row_26	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	426	-0.5971938371658325	-0.35656863	Yes	
row_27	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	429	-0.6168133020401001	-0.31870028	Yes	
row_28	SPRR1B	small proline rich protein 1B [Source:HGNC Symbol;Acc:HGNC:11260]	434	-0.6288455128669739	-0.2846537	Yes	
row_29	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	438	-0.6473177671432495	-0.24700812	Yes	
row_30	SPRR1A	small proline rich protein 1A [Source:HGNC Symbol;Acc:HGNC:11259]	439	-0.6602150201797485	-0.20149675	Yes	
row_31	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	441	-0.6743589639663696	-0.15733597	Yes	
row_32	KRT6C	keratin 6C [Source:HGNC Symbol;Acc:HGNC:20406]	443	-0.6859889626502991	-0.11237347	Yes	
row_33	KRT74	keratin 74 [Source:HGNC Symbol;Acc:HGNC:28929]	445	-0.6939780116081238	-0.06686026	Yes	
row_34	KRT13	keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]	450	-0.7447651624679565	-0.024822826	Yes	
row_35	KRT6A	keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]	457	-0.8324043154716492	0.01860478	Yes	
