NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	1	0.5558423399925232	0.025924675	Yes	
row_1	IGHV3-7	immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620]	4	0.5455996990203857	0.048806325	Yes	
row_2	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	7	0.4954618811607361	0.069122314	Yes	
row_3	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	9	0.4761580526828766	0.09096939	Yes	
row_4	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	10	0.46952611207962036	0.11499598	Yes	
row_5	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	19	0.39058732986450195	0.114831984	Yes	
row_6	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	23	0.3746103346347809	0.12644488	Yes	
row_7	HBD	hemoglobin subunit delta [Source:HGNC Symbol;Acc:HGNC:4829]	25	0.36586225032806396	0.14264788	Yes	
row_8	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	36	0.3386485278606415	0.13478829	Yes	
row_9	IGLV3-21	immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905]	40	0.3217311501502991	0.14369525	Yes	
row_10	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	44	0.31311604380607605	0.15216134	Yes	
row_11	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	47	0.3058677017688751	0.16277543	Yes	
row_12	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	48	0.29230356216430664	0.17773318	Yes	
row_13	HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	56	0.24573661386966705	0.17267577	No	
row_14	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	89	0.19371294975280762	0.10198393	No	
row_15	MMRN1	multimerin 1 [Source:HGNC Symbol;Acc:HGNC:7178]	105	0.19371294975280762	0.074113235	No	
row_16	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	106	0.19371294975280762	0.08402591	No	
row_17	A1BG	alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]	110	0.1799619048833847	0.08567825	No	
row_18	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	112	0.17565980553627014	0.09214822	No	
row_19	SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	113	0.17544303834438324	0.101126	No	
row_20	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	115	0.14819487929344177	0.10619053	No	
row_21	ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	116	0.14769475162029266	0.11374837	No	
row_22	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	120	0.13552618026733398	0.113126844	No	
row_23	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	123	0.12566575407981873	0.114519626	No	
row_24	IGHV3-23	immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588]	126	0.11588180810213089	0.11541175	No	
row_25	IGHM	immunoglobulin heavy constant mu [Source:HGNC Symbol;Acc:HGNC:5541]	135	0.09498721361160278	0.100121304	No	
row_26	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	140	0.07277202606201172	0.093769625	No	
row_27	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	149	0.034282755106687546	0.075372815	No	
row_28	IGKV3-15	immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816]	151	0.02968350425362587	0.07437289	No	
row_29	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	164	0.0	0.044146188	No	
row_30	FAM3C	FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664]	168	0.0	0.03658951	No	
row_31	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	176	0.0	0.01895727	No	
row_32	ORM2	orosomucoid 2 [Source:HGNC Symbol;Acc:HGNC:8499]	178	-0.015172307379543781	0.017214775	No	
