NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGHV3-7	immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620]	4	0.5455996990203857	0.10644107	Yes	
row_1	IGLV3-21	immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905]	40	0.3217311501502991	0.0955253	Yes	
row_2	IGHV3-23	immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588]	126	0.11588180810213089	-0.07182313	Yes	
row_3	MADCAM1	mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]	133	0.10182692855596542	-0.063816555	Yes	
row_4	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	137	0.09349644929170609	-0.050801024	Yes	
row_5	IGKV3-15	immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816]	151	0.02968350425362587	-0.0738642	Yes	
row_6	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	177	-0.01239912398159504	-0.12767346	Yes	
row_7	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	191	-0.05732160061597824	-0.14488733	Yes	
row_8	IGKV3D-20	immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825]	192	-0.06038494035601616	-0.13210748	Yes	
row_9	FCGR3A	Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]	208	-0.1298365741968155	-0.138489	Yes	
row_10	IGKV3-20	immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]	212	-0.1367180496454239	-0.11632607	Yes	
row_11	LAIR1	leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]	213	-0.13813918828964233	-0.087090366	Yes	
row_12	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	214	-0.1384781152009964	-0.057782937	Yes	
row_13	CD300A	CD300a molecule [Source:HGNC Symbol;Acc:HGNC:19319]	219	-0.15582653880119324	-0.03383324	Yes	
row_14	CLEC4G	C-type lectin domain family 4 member G [Source:HGNC Symbol;Acc:HGNC:24591]	242	-0.19371294975280762	-0.04249734	Yes	
row_15	IGKV1-33	immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737]	268	-0.19371294975280762	-0.05793345	Yes	
row_16	NECTIN2	nectin cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:9707]	272	-0.20178043842315674	-0.022000758	Yes	
row_17	ICAM2	intercellular adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:5345]	282	-0.22072672843933105	0.004397696	Yes	
row_18	OSCAR	osteoclast associated Ig-like receptor [Source:HGNC Symbol;Acc:HGNC:29960]	309	-0.26116859912872314	9.805271E-4	Yes	
row_19	IGKV2-28	immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783]	345	-0.3415651321411133	-0.005737592	Yes	
row_20	CD300E	CD300e molecule [Source:HGNC Symbol;Acc:HGNC:28874]	374	-0.39058732986450195	0.013720674	Yes	
row_21	CD300LG	CD300 molecule like family member g [Source:HGNC Symbol;Acc:HGNC:30455]	377	-0.40143266320228577	0.09416499	Yes	
row_22	IGKV3-11	immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815]	395	-0.48300623893737793	0.15801343	Yes	
