NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	98	0.19371294975280762	-0.18412651	No	
row_1	MADCAM1	mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]	133	0.10182692855596542	-0.24173176	No	
row_2	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	149	0.034282755106687546	-0.26907465	No	
row_3	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	155	0.0	-0.28026032	No	
row_4	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	177	-0.01239912398159504	-0.3249927	No	
row_5	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	180	-0.02198762074112892	-0.32548144	No	
row_6	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	196	-0.07665573805570602	-0.34514368	No	
row_7	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	215	-0.13935165107250214	-0.36015293	No	
row_8	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	230	-0.18357336521148682	-0.35819793	No	
row_9	ICAM2	intercellular adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:5345]	282	-0.22072672843933105	-0.43228242	No	
row_10	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	284	-0.22745375335216522	-0.39329076	No	
row_11	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	312	-0.2659088373184204	-0.40549418	No	
row_12	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	364	-0.36165329813957214	-0.45403403	Yes	
row_13	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	369	-0.38052985072135925	-0.39400685	Yes	
row_14	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	376	-0.39751994609832764	-0.33537427	Yes	
row_15	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	417	-0.5583490133285522	-0.32365206	Yes	
row_16	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	432	-0.6237465739250183	-0.24191022	Yes	
row_17	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	440	-0.6674237847328186	-0.13659137	Yes	
row_18	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	460	-1.0497639179229736	0.011185705	Yes	
