NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GC	GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]	0	0.7194939851760864	0.10190323	Yes	
row_1	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	7	0.4954618811607361	0.15847094	Yes	
row_2	SERPINA6	serpin family A member 6 [Source:HGNC Symbol;Acc:HGNC:1540]	15	0.41402748227119446	0.2012374	Yes	
row_3	GM2A	GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367]	17	0.4065797030925751	0.25655442	Yes	
row_4	APOA2	apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601]	21	0.3834083676338196	0.30405453	Yes	
row_5	CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	51	0.2680804431438446	0.27626362	Yes	
row_6	ASAH1	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]	55	0.2463107705116272	0.30434632	Yes	
row_7	SLC44A4	solute carrier family 44 member 4 [Source:HGNC Symbol;Acc:HGNC:13941]	60	0.24025307595729828	0.3293035	Yes	
row_8	OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	83	0.19371294975280762	0.3068528	No	
row_9	DBI	"diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]"	103	0.19371294975280762	0.2912048	No	
row_10	GLB1	galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]	111	0.17899495363235474	0.30068317	No	
row_11	ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	116	0.14769475162029266	0.31253114	No	
row_12	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	123	0.12566575407981873	0.31672397	No	
row_13	LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	141	0.06480099260807037	0.2873531	No	
row_14	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	169	0.0	0.22612862	No	
row_15	CUBN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]	198	-0.08593987673521042	0.17480837	No	
row_16	ARSA	arylsulfatase A [Source:HGNC Symbol;Acc:HGNC:713]	223	-0.16779093444347382	0.14415114	No	
row_17	HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	234	-0.19371294975280762	0.14891131	No	
row_18	ACSL6	acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]	252	-0.19371294975280762	0.13779847	No	
row_19	THRAP3	thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]	264	-0.19371294975280762	0.14029108	No	
row_20	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	311	-0.26274117827415466	0.07319519	No	
row_21	CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]	333	-0.3217311501502991	0.07114351	No	
row_22	DPEP1	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	350	-0.3428772985935211	0.08342466	No	
row_23	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	353	-0.3428772985935211	0.12745184	No	
row_24	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	459	-0.8772662281990051	0.013605391	No	
