NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	1	0.5558423399925232	0.040812403	No	
row_1	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	7	0.4954618811607361	0.06750125	No	
row_2	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	9	0.4761580526828766	0.10212477	No	
row_3	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	10	0.46952611207962036	0.1385917	No	
row_4	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	23	0.3746103346347809	0.13938487	No	
row_5	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	36	0.3386485278606415	0.13738498	No	
row_6	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	47	0.3058677017688751	0.13755605	No	
row_7	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	48	0.29230356216430664	0.16025855	No	
row_8	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	89	0.19371294975280762	0.080964126	No	
row_9	MMRN1	multimerin 1 [Source:HGNC Symbol;Acc:HGNC:7178]	105	0.19371294975280762	0.06063197	No	
row_10	A1BG	alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]	110	0.1799619048833847	0.065175205	No	
row_11	SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	113	0.17544303834438324	0.074084446	No	
row_12	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	115	0.14819487929344177	0.08323589	No	
row_13	ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	116	0.14769475162029266	0.094706975	No	
row_14	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	120	0.13552618026733398	0.09815748	No	
row_15	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	123	0.12566575407981873	0.10320065	No	
row_16	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	149	0.034282755106687546	0.046901044	No	
row_17	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	164	0.0	0.013882174	No	
row_18	FAM3C	FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664]	168	0.0	0.0068067024	No	
row_19	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	176	0.0	-0.009702732	No	
row_20	ORM2	orosomucoid 2 [Source:HGNC Symbol;Acc:HGNC:8499]	178	-0.015172307379543781	-0.010882827	No	
row_21	GP6	glycoprotein VI platelet [Source:HGNC Symbol;Acc:HGNC:14388]	200	-0.09877627342939377	-0.052739423	No	
