NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	6	0.4954984486103058	0.08537681	Yes	
row_1	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	7	0.4954618811607361	0.18407966	Yes	
row_2	APOA2	apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601]	21	0.3834083676338196	0.23157102	Yes	
row_3	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	30	0.3428772985935211	0.28209913	Yes	
row_4	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	42	0.3217311501502991	0.321748	Yes	
row_5	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	65	0.23193790018558502	0.31906432	No	
row_6	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	112	0.17565980553627014	0.25183597	No	
row_7	LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	141	0.06480099260807037	0.202523	No	
row_8	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	155	0.0	0.17363411	No	
row_9	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	163	0.0	0.15807855	No	
row_10	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	193	-0.060936953872442245	0.10577359	No	
row_11	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	256	-0.19371294975280762	0.0065861037	No	
row_12	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	266	-0.19371294975280762	0.0251764	No	
row_13	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	301	-0.24660193920135498	-0.0012526438	No	
row_14	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	453	-0.7636272311210632	-0.1846831	No	
row_15	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	460	-1.0497639179229736	0.01111105	No	
