NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2BC3	H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]	92	0.19371294975280762	-0.090776354	Yes	
row_1	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	132	0.10540925711393356	-0.11591376	Yes	
row_2	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	163	0.0	-0.18170324	Yes	
row_3	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	184	-0.03339233994483948	-0.20643243	Yes	
row_4	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	229	-0.18214283883571625	-0.19857414	Yes	
row_5	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	262	-0.19371294975280762	-0.15777154	Yes	
row_6	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	265	-0.19371294975280762	-0.051179472	Yes	
row_7	TFF1	trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755]	287	-0.23212411999702454	0.03575167	Yes	
row_8	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	311	-0.26274117827415466	0.13583733	Yes	
row_9	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	359	-0.3485585153102875	0.23245612	Yes	
