NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	16	0.4097476005554199	0.06471932	Yes	
row_1	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	48	0.29230356216430664	0.06707187	Yes	
row_2	SPC24	SPC24 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:26913]	61	0.24025307595729828	0.09916173	Yes	
row_3	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	72	0.19371294975280762	0.124309294	Yes	
row_4	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	89	0.19371294975280762	0.13603404	Yes	
row_5	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	91	0.19371294975280762	0.18131582	Yes	
row_6	H2BC3	H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]	92	0.19371294975280762	0.22883476	Yes	
row_7	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	112	0.17565980553627014	0.22941954	Yes	
row_8	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	114	0.17206420004367828	0.26939076	Yes	
row_9	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	120	0.13552618026733398	0.29145047	Yes	
row_10	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	177	-0.01239912398159504	0.1692124	No	
row_11	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	181	-0.0284140445291996	0.16947111	No	
row_12	CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	240	-0.19371294975280762	0.087236136	No	
row_13	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	261	-0.19371294975280762	0.090012334	No	
row_14	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	266	-0.19371294975280762	0.12858272	No	
row_15	VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	297	-0.24025307595729828	0.12040412	No	
row_16	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	318	-0.27908313274383545	0.14412212	No	
row_17	MCAM	melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6934]	332	-0.3217311501502991	0.1939619	No	
row_18	CTTN	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]	382	-0.41311725974082947	0.18568231	No	
