NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CDA	1	CDA	
PGLYRP2	1	PGLYRP2	
IGHV3-23	1	IGHV3-23	
COL12A1	1	COL12A1	
ENO1	1	ENO1	
ENO3	1	ENO3	
MYLK	1	MYLK	
ISLR	1	ISLR	
CREB3L3	1	CREB3L3	
PGLYRP1	1	PGLYRP1	
IGHV3-7	1	IGHV3-7	
CHGB	1	CHGB	
MT1HL1	1	MT1HL1	
CUBN	1	CUBN	
NHLRC3	1	NHLRC3	
CEL	1	CEL	
RNASE2	1	RNASE2	
HSPG2	1	HSPG2	
RNASE1	1	RNASE1	
ACE2	1	ACE2	
RBP4	1	RBP4	
BCAM	1	BCAM	
SERPING1	1	SERPING1	
SPARCL1	1	SPARCL1	
UBA52	1	UBA52	
ENPEP	1	ENPEP	
CFI	1	CFI	
ENDOD1	1	ENDOD1	
LYPD3	1	LYPD3	
A1BG	1	A1BG	
THY1	1	THY1	
GNS	1	GNS	
C3	1	C3	
HPX	1	HPX	
LDHB	1	LDHB	
PRDX2	1	PRDX2	
C7	1	C7	
PRDX1	1	PRDX1	
IGHA1	1	IGHA1	
PROM1	1	PROM1	
S100A11	1	S100A11	
ELANE	1	ELANE	
NGFR	1	NGFR	
GSTM3	1	GSTM3	
CADM4	1	CADM4	
CADM1	1	CADM1	
MCAM	1	MCAM	
CYP4F2	1	CYP4F2	
FUCA1	1	FUCA1	
FN1	1	FN1	
GP6	1	GP6	
LYZ	1	LYZ	
PGA3	1	PGA3	
CP	1	CP	
BHMT	1	BHMT	
B4GAT1	1	B4GAT1	
EIF6	1	EIF6	
FXYD2	1	FXYD2	
HRG	1	HRG	
PIGR	1	PIGR	
SERPINA3	1	SERPINA3	
SERPINA1	1	SERPINA1	
HEXA	1	HEXA	
SERPINA6	1	SERPINA6	
SERPINA7	1	SERPINA7	
SERPINA5	1	SERPINA5	
IL18BP	1	IL18BP	
CASP14	1	CASP14	
AIFM2	1	AIFM2	
SH3BGRL3	1	SH3BGRL3	
CTBS	1	CTBS	
HAVCR2	1	HAVCR2	
SERPINB3	1	SERPINB3	
SERPINB4	1	SERPINB4	
ANXA1	1	ANXA1	
TPI1	1	TPI1	
ANXA2	1	ANXA2	
AHSG	1	AHSG	
ANXA3	1	ANXA3	
ANXA5	1	ANXA5	
NUTF2	1	NUTF2	
F2	1	F2	
SERPINB5	1	SERPINB5	
GCHFR	1	GCHFR	
GPRC5B	1	GPRC5B	
OAF	1	OAF	
ANGPTL2	1	ANGPTL2	
GPRC5C	1	GPRC5C	
IVL	1	IVL	
ZNF233	1	ZNF233	
GRN	1	GRN	
ASAH1	1	ASAH1	
SERPINB13	1	SERPINB13	
SERPINC1	1	SERPINC1	
GSTP1	1	GSTP1	
AFM	1	AFM	
DLST	1	DLST	
SBSN	1	SBSN	
IGLV3-21	1	IGLV3-21	
LMAN2	1	LMAN2	
SPP1	1	SPP1	
GC	1	GC	
SIAE	1	SIAE	
CASP8AP2	1	CASP8AP2	
GSN	1	GSN	
GOLM1	1	GOLM1	
IL10RB	1	IL10RB	
SULF2	1	SULF2	
TTLL7	1	TTLL7	
LRG1	1	LRG1	
FABP5	1	FABP5	
NUCB1	1	NUCB1	
AGRN	1	AGRN	
SLC28A1	1	SLC28A1	
CSF1	1	CSF1	
REG1A	1	REG1A	
HP	1	HP	
TNC	1	TNC	
DEFB1	1	DEFB1	
CLU	1	CLU	
HID1	1	HID1	
C11orf54	1	C11orf54	
IGHG4	1	IGHG4	
IGHG2	1	IGHG2	
EFEMP1	1	EFEMP1	
NAGLU	1	NAGLU	
CDH2	1	CDH2	
CDH1	1	CDH1	
LAMP2	1	LAMP2	
TPM3	1	TPM3	
IST1	1	IST1	
IGFBP3	1	IGFBP3	
IGFBP2	1	IGFBP2	
TPM1	1	TPM1	
OLFM4	1	OLFM4	
CLIP1	1	CLIP1	
DYDC1	1	DYDC1	
IGFALS	1	IGFALS	
S100A9	1	S100A9	
S100A8	1	S100A8	
DSC2	1	DSC2	
CLEC4G	1	CLEC4G	
NOTCH3	1	NOTCH3	
TACSTD2	1	TACSTD2	
KNG1	1	KNG1	
VTN	1	VTN	
PSAP	1	PSAP	
