SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
IGHV3-7,immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620],4,0.546,0.1538,Yes
IGLV3-21,immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905],40,0.322,0.1721,Yes
IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker) [Source:HGNC Symbol;Acc:HGNC:5526],117,0.146,0.0470,No
IGHV3-23,immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588],126,0.116,0.0638,No
IGKV3-15,immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816],151,0.030,0.0194,No
GGT1,gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250],169,0.000,-0.0183,No
IGKV3D-20,immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825],192,-0.060,-0.0490,No
FCGR3A,Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619],208,-0.130,-0.0436,No
IGKV3-20,immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817],212,-0.137,-0.0095,No
MYH9,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],266,-0.194,-0.0692,No
IGKV1-33,immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737],268,-0.194,-0.0137,No
IGHG4,immunoglobulin heavy constant gamma 4 (G4m marker) [Source:HGNC Symbol;Acc:HGNC:5528],326,-0.314,-0.0465,No
IGKV2-28,immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783],345,-0.342,0.0154,No
DPEP1,dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002],350,-0.343,0.1088,No
IGKV3-11,immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815],395,-0.483,0.1552,No
