SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
APOA1,apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600],7,0.495,0.0872,Yes
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851],16,0.410,0.1544,Yes
PRDX1,peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352],20,0.383,0.2273,Yes
GSTP1,glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638],45,0.309,0.2376,Yes
SOD1,superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179],47,0.306,0.2989,Yes
HBA1,hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823],49,0.287,0.3564,Yes
HBB,hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827],56,0.246,0.3940,Yes
CREB3L3,cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855],73,0.194,0.3983,Yes
DYNC1H1,dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961],91,0.194,0.4003,Yes
H2BC3,H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751],92,0.194,0.4406,Yes
ALB,albumin [Source:HGNC Symbol;Acc:HGNC:399],116,0.148,0.4196,Yes
HSPA6,heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239],121,0.136,0.4387,Yes
PRDX2,peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353],124,0.125,0.4602,Yes
HSPB1,heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246],132,0.105,0.4664,Yes
TPP1,tripeptidyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:2073],144,0.056,0.4533,No
SOD3,superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181],148,0.035,0.4538,No
HSPA8,heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241],173,0.000,0.3998,No
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458],194,-0.067,0.3687,No
IGFBP7,insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476],286,-0.230,0.2120,No
TXN,thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435],342,-0.338,0.1587,No
GPX3,glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555],415,-0.556,0.1124,No
