SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
MSN,moesin [Source:HGNC Symbol;Acc:HGNC:7373],42,0.322,0.0695,Yes
ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132],112,0.176,0.0061,Yes
FGG,fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694],149,0.034,-0.0558,Yes
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458],194,-0.067,-0.1190,Yes
PEBP1,phosphatidylethanolamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8630],202,-0.103,-0.0826,Yes
FGB,fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662],215,-0.139,-0.0389,Yes
EGF,epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229],229,-0.182,0.0241,Yes
MYH9,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],266,-0.194,0.0424,Yes
FN1,fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778],284,-0.227,0.1194,Yes
FGA,fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661],312,-0.266,0.1937,Yes
TPM3,tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012],318,-0.279,0.3231,Yes
