SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
APOA1,apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600],7,0.495,0.1598,Yes
A2M,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7],10,0.470,0.3215,Yes
APOA2,apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601],21,0.383,0.4351,Yes
APOA4,apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602],30,0.343,0.5388,Yes
CREB3L3,cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855],73,0.194,0.5149,Yes
NPC2,NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537],86,0.194,0.5571,Yes
LPA,lipoprotein(a) [Source:HGNC Symbol;Acc:HGNC:6667],99,0.194,0.5992,Yes
ALB,albumin [Source:HGNC Symbol;Acc:HGNC:399],116,0.148,0.6163,Yes
APOE,apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613],163,0.000,0.5152,No
CUBN,cubilin [Source:HGNC Symbol;Acc:HGNC:2548],198,-0.086,0.4708,No
LCAT,lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522],338,-0.322,0.2791,No
