SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851],16,0.410,0.1056,Yes
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855],48,0.292,0.1376,Yes
SPC24,SPC24 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:26913],61,0.240,0.1937,Yes
MYLK,myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590],72,0.194,0.2382,Yes
PFN1,profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881],89,0.194,0.2695,Yes
DYNC1H1,dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961],91,0.194,0.3339,Yes
H2BC3,H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751],92,0.194,0.4006,Yes
ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132],112,0.176,0.4190,Yes
S100A9,S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499],114,0.172,0.4760,Yes
CDH1,cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748],177,-0.012,0.3431,No
S100A8,S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498],181,-0.028,0.3462,No
CLIP1,CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461],240,-0.194,0.2846,No
MYH9,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],266,-0.194,0.2959,No
CTTN,cortactin [Source:HGNC Symbol;Acc:HGNC:3338],382,-0.413,0.1836,No
