SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851],16,0.410,0.0647,Yes
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855],48,0.292,0.0671,Yes
SPC24,SPC24 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:26913],61,0.240,0.0992,Yes
MYLK,myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590],72,0.194,0.1243,Yes
PFN1,profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881],89,0.194,0.1360,Yes
DYNC1H1,dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961],91,0.194,0.1813,Yes
H2BC3,H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751],92,0.194,0.2288,Yes
ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132],112,0.176,0.2294,Yes
S100A9,S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499],114,0.172,0.2694,Yes
ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163],120,0.136,0.2915,Yes
CDH1,cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748],177,-0.012,0.1692,No
S100A8,S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498],181,-0.028,0.1695,No
CLIP1,CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461],240,-0.194,0.0872,No
ATP6AP1,ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868],261,-0.194,0.0900,No
MYH9,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],266,-0.194,0.1286,No
VIM,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],297,-0.240,0.1204,No
TPM3,tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012],318,-0.279,0.1441,No
MCAM,melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6934],332,-0.322,0.1940,No
CTTN,cortactin [Source:HGNC Symbol;Acc:HGNC:3338],382,-0.413,0.1857,No
