SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
IGHV3-7,immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620],4,0.546,0.2195,Yes
IGLV3-21,immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905],40,0.322,0.2772,Yes
IGHV3-23,immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588],126,0.116,0.1389,No
IGHM,immunoglobulin heavy constant mu [Source:HGNC Symbol;Acc:HGNC:5541],135,0.095,0.1611,No
IGKV3-15,immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816],151,0.030,0.1405,No
IGKV3D-20,immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825],192,-0.060,0.0779,No
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458],194,-0.067,0.1035,No
IGKV3-20,immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817],212,-0.137,0.1234,No
IGKV1-33,immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737],268,-0.194,0.0835,No
IGKV2-28,immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783],345,-0.342,0.0594,No
IGKV3-11,immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815],395,-0.483,0.1538,No
