NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	11	0.44716981053352356	0.23881423	Yes	
row_1	ALDOC	"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"	33	0.3428772985935211	0.39437437	Yes	
row_2	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	58	0.24025307595729828	0.48301223	Yes	
row_3	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	109	0.1884685605764389	0.4841831	Yes	
row_4	ALDOB	"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"	118	0.1448337435722351	0.55180186	Yes	
row_5	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	138	0.08694153279066086	0.56125706	Yes	
row_6	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	147	0.04376888647675514	0.5694494	Yes	
row_7	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	174	0.0	0.51243186	No	
row_8	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	195	-0.07083357870578766	0.51022255	No	
row_9	ALDOA	"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"	211	-0.13552618026733398	0.55701756	No	
