NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	11	0.44716981053352356	0.047463827	Yes	
row_1	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	31	0.3428772985935211	0.05945705	Yes	
row_2	ALDOC	"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"	33	0.3428772985935211	0.11302071	Yes	
row_3	GALNS	galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122]	34	0.3428772985935211	0.16889384	Yes	
row_4	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	58	0.24025307595729828	0.15492618	Yes	
row_5	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	65	0.23193790018558502	0.17886451	Yes	
row_6	B4GAT1	"beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]"	76	0.19371294975280762	0.18733607	Yes	
row_7	MAN2B2	mannosidase alpha class 2B member 2 [Source:HGNC Symbol;Acc:HGNC:29623]	101	0.19371294975280762	0.16347507	Yes	
row_8	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	109	0.1884685605764389	0.17802043	Yes	
row_9	GLB1	galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]	111	0.17899495363235474	0.20487885	Yes	
row_10	ALDOB	"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"	118	0.1448337435722351	0.21462324	Yes	
row_11	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	138	0.08694153279066086	0.18491077	Yes	
row_12	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	147	0.04376888647675514	0.17356732	Yes	
row_13	GNS	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	150	0.03302637115120888	0.17433016	Yes	
row_14	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	155	0.0	0.16509229	Yes	
row_15	CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	157	0.0	0.16278282	Yes	
row_16	MANBA	mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831]	166	0.0	0.14430706	Yes	
row_17	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	174	0.0	0.12814078	Yes	
row_18	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	180	-0.02198762074112892	0.120176405	Yes	
row_19	HYAL1	hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:5320]	189	-0.04728696495294571	0.10940624	Yes	
row_20	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	193	-0.060936953872442245	0.11240774	Yes	
row_21	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	194	-0.06650812923908234	0.123245485	Yes	
row_22	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	195	-0.07083357870578766	0.13478808	Yes	
row_23	ALDOA	"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"	211	-0.13552618026733398	0.12223054	Yes	
row_24	NAGLU	N-acetyl-alpha-glucosaminidase [Source:HGNC Symbol;Acc:HGNC:7632]	224	-0.1682678461074829	0.12193678	Yes	
row_25	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	233	-0.1927049309015274	0.13486302	Yes	
row_26	HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	234	-0.19371294975280762	0.16642927	Yes	
row_27	PGLS	6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]	246	-0.19371294975280762	0.17259134	Yes	
row_28	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	253	-0.19371294975280762	0.19030078	Yes	
row_29	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	256	-0.19371294975280762	0.21724808	Yes	
row_30	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	265	-0.19371294975280762	0.23033857	Yes	
row_31	B4GALT1	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	351	-0.3428772985935211	0.08990686	No	
row_32	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	460	-1.0497639179229736	0.011547159	No	
