NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	6	0.4954984486103058	0.12577388	Yes	
row_1	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	7	0.4954618811607361	0.26475334	Yes	
row_2	APOA2	apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601]	21	0.3834083676338196	0.3436669	Yes	
row_3	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	30	0.3428772985935211	0.42222452	Yes	
row_4	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	65	0.23193790018558502	0.41239437	No	
row_5	LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	141	0.06480099260807037	0.26537314	No	
row_6	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	155	0.0	0.23673879	No	
row_7	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	163	0.0	0.22132027	No	
row_8	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	193	-0.060936953872442245	0.17453673	No	
row_9	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	256	-0.19371294975280762	0.092310295	No	
row_10	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	301	-0.24660193920135498	0.064567044	No	
row_11	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	460	-1.0497639179229736	0.011013344	No	
