NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	Details ...	11	0.61627305	2.0671005	0.005050505	0.060902864	0.022	116	tags=73%, list=25%, signal=95%	
REACTOME_GLUCOSE_METABOLISM	REACTOME_GLUCOSE_METABOLISM	Details ...	11	0.59132665	1.990897	0.004201681	0.056508288	0.037	147	tags=73%, list=32%, signal=104%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Details ...	21	0.46641684	1.9690589	0.0	0.043822844	0.043	132	tags=67%, list=28%, signal=89%	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	Details ...	27	0.4246642	1.8651519	0.0	0.06370985	0.083	116	tags=59%, list=25%, signal=74%	
REACTOME_GLUCONEOGENESIS	REACTOME_GLUCONEOGENESIS	Details ...	10	0.5694494	1.76779	0.018099548	0.0808735	0.129	147	tags=70%, list=32%, signal=100%	
REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_RHO_GTPASE_EFFECTORS	Details ...	14	0.4759864	1.6936493	0.021052632	0.099284105	0.187	114	tags=64%, list=24%, signal=83%	
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	Details ...	11	0.43281397	1.4602509	0.052173913	0.29135457	0.49	56	tags=45%, list=12%, signal=50%	
REACTOME_VISUAL_PHOTOTRANSDUCTION	REACTOME_VISUAL_PHOTOTRANSDUCTION	Details ...	12	0.42222452	1.43864	0.07111111	0.2835701	0.532	30	tags=33%, list=6%, signal=35%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	25	0.3293035	1.4377255	0.03125	0.25291887	0.534	60	tags=32%, list=13%, signal=35%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Details ...	12	0.42222452	1.4284462	0.07692308	0.23936856	0.552	30	tags=33%, list=6%, signal=35%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	20	0.30496967	1.3227171	0.08	0.34593993	0.726	56	tags=30%, list=12%, signal=33%	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT	Details ...	43	0.24303834	1.2801166	0.05263158	0.3810822	0.805	63	tags=28%, list=14%, signal=29%	
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	Details ...	16	0.34025672	1.2707723	0.1452514	0.36595213	0.819	30	tags=25%, list=6%, signal=26%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	18	0.3211199	1.2466807	0.15384616	0.38209143	0.851	56	tags=33%, list=12%, signal=36%	
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	Details ...	19	0.29145047	1.2065967	0.17575757	0.4218334	0.892	120	tags=53%, list=26%, signal=68%	
REACTOME_METABOLISM_OF_CARBOHYDRATES	REACTOME_METABOLISM_OF_CARBOHYDRATES	Details ...	33	0.23033857	1.0974522	0.317757	0.61867535	0.971	265	tags=94%, list=57%, signal=202%	
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	Details ...	11	0.32307684	1.0775112	0.35	0.6298628	0.979	318	tags=100%, list=68%, signal=307%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	16	0.2802598	1.0168409	0.41317365	0.7424357	0.996	92	tags=44%, list=20%, signal=53%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	69	0.17773318	1.0138924	0.4857143	0.7097967	0.996	48	tags=19%, list=10%, signal=18%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	10	0.29242992	0.92975247	0.5288889	0.8781188	0.999	40	tags=20%, list=9%, signal=21%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	10	0.29242992	0.9250182	0.52112675	0.8484488	0.999	40	tags=20%, list=9%, signal=21%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	10	0.28779688	0.9228311	0.5630631	0.8151848	0.999	40	tags=20%, list=9%, signal=21%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	10	0.28779688	0.91720694	0.5670498	0.7934661	1.0	40	tags=20%, list=9%, signal=21%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	11	0.27721924	0.8957894	0.5825688	0.80711675	1.0	40	tags=18%, list=9%, signal=19%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	15	0.23516893	0.8419151	0.67027026	0.88562554	1.0	40	tags=20%, list=9%, signal=21%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	12	0.22192147	0.75904286	0.8189655	1.0	1.0	40	tags=17%, list=9%, signal=18%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	12	0.22192147	0.75710124	0.8106796	0.9724754	1.0	40	tags=17%, list=9%, signal=18%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	12	0.22192147	0.7341573	0.776699	0.97149974	1.0	40	tags=17%, list=9%, signal=18%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	14	0.18586439	0.6610355	0.9396985	1.0	1.0	40	tags=14%, list=9%, signal=15%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	14	0.18586439	0.6558892	0.943299	0.9916671	1.0	40	tags=14%, list=9%, signal=15%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	15	0.17210568	0.6381836	0.9580838	0.9728209	1.0	40	tags=13%, list=9%, signal=14%	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	Details ...	42	0.09433956	0.48007068	1.0	0.99709916	1.0	425	tags=100%, list=91%, signal=1034%	
