prot;SCORE_Zdravi;SCORE_LUMA;SCORE_LUMB;SCORE_TNBC
ENO3;0.1256;0.4799;0.6272;0.0275
PGK1;0.1967;0.1077;0.1118;0.3346
ENO1;0.2761;0.033;0.4173;0.1731
LDHA;0.3301;0.2921;0.6088;0.2252
HK1;0.3948;;;0.0943
ALDOA;0.4426;0.5334;0.4049;0.4132
GAPDH;0.4912;0.357;0.6184;0.3762
ENO2;0.5387;0.4358;0.5146;0.2691
PRDX5;0.5228;0.3697;;0.5034
ANXA2;0.5595;0.377;0.4344;0.4211
ALDOC;0.6033;0.173;0.4193;0.2971
GPI;0.6384;0.1755;0.3046;0.4632
S100A4;0.4951;0.2935;0.4189;0.4456
NDRG1;0.5106;;;
TES;0.5194;0.2102;;0.2028
PFKL;0.5053;0.2461;;0.2815
MYH9;0.4546;0.1119;0.3654;0.5278
PRKCA;0.433;;;
PGM1;0.3845;;;
HSPA5;0.2724;0.3843;0.2928;0.1789
TPI1;0.23;0.4653;0.3235;0.1454
ISG20;0.192;;;0.2336
PGM2;0.1896;0.4277;0.6033;0.4658
MIF;0.1888;0.4688;0.2443;0.4616
MT1E;0.0184;0.1064;;0.075
FBP1;;0.4207;;
GLRX;;0.448;;
NAGK;;0.4402;;
ANKZF1;;;;0.4707
