"Gene Id",Symbol,Description,CD4,CD4,CD8,CD8,CD14,CD14,CD19,CD19
"","","",pFDR,logFC,pFDR,logFC,pFDR,logFC,pFDR,logFC
10000,AKT3,"AKT serine/threonine kinase 3","","","","","","","",""
1017,CDK2,"cyclin dependent kinase 2","","","","","","","",""
1019,CDK4,"cyclin dependent kinase 4","","","","","","","",""
1026,CDKN1A,"cyclin dependent kinase inhibitor 1A","","","","","","","",""
1029,CDKN2A,"cyclin dependent kinase inhibitor 2A","","","","","","","",""
1030,CDKN2B,"cyclin dependent kinase inhibitor 2B","","","","","","","",""
1031,CDKN2C,"cyclin dependent kinase inhibitor 2C","","","","","","","",""
10393,ANAPC10,"anaphase promoting complex subunit 10","","","","","","","",""
10488,CREB3,"cAMP responsive element binding protein 3","","","","","","","",""
10524,KAT5,"lysine acetyltransferase 5","","","","","","","",""
107,ADCY1,"adenylate cyclase 1","","","","","","","",""
10744,PTTG2,"pituitary tumor-transforming 2","","","","","","","",""
108,ADCY2,"adenylate cyclase 2","","","","","","","",""
109,ADCY3,"adenylate cyclase 3","","","","","","","",""
111,ADCY5,"adenylate cyclase 5","","","","","","","",""
1111,CHEK1,"checkpoint kinase 1","","","","","","","",""
112,ADCY6,"adenylate cyclase 6","","","","","","","",""
11200,CHEK2,"checkpoint kinase 2","","","","","","","",""
113,ADCY7,"adenylate cyclase 7","","","","","","","",""
114,ADCY8,"adenylate cyclase 8","","","","","","","",""
1147,CHUK,"component of inhibitor of nuclear factor kappa B kinase complex","","","","","","","",""
115,ADCY9,"adenylate cyclase 9","","","","","","","",""
115650,TNFRSF13C,"TNF receptor superfamily member 13C","","","","","","","",""
1385,CREB1,"cAMP responsive element binding protein 1","","","","","","","",""
1386,ATF2,"activating transcription factor 2","","","","","","","",""
1387,CREBBP,"CREB binding protein","","","","","","","",""
1388,ATF6B,"activating transcription factor 6 beta","","","","","","","",""
1437,CSF2,"colony stimulating factor 2","","","","","","","",""
148327,CREB3L4,"cAMP responsive element binding protein 3 like 4","","","","","","","",""
1739,DLG1,"discs large MAGUK scaffold protein 1","","","","","","","",""
1869,E2F1,"E2F transcription factor 1","","","","","","","",""
1870,E2F2,"E2F transcription factor 2","","","","","","","",""
1871,E2F3,"E2F transcription factor 3","","","","","","","",""
1958,EGR1,"early growth response 1","","","","","","","",""
1959,EGR2,"early growth response 2","","","","","","","",""
196883,ADCY4,"adenylate cyclase 4","","","","","","","",""
200186,CRTC2,"CREB regulated transcription coactivator 2","","","","","","","",""
2002,ELK1,"ETS transcription factor ELK1","","","","","","","",""
2005,ELK4,"ETS transcription factor ELK4","","","","","","","",""
2033,EP300,"E1A binding protein p300","","","","","","","",""
207,AKT1,"AKT serine/threonine kinase 1","","","","","","","",""
208,AKT2,"AKT serine/threonine kinase 2","","","","","","","",""
2113,ETS1,"ETS proto-oncogene 1, transcription factor","","","","","","","",""
2114,ETS2,"ETS proto-oncogene 2, transcription factor","","","","","","","",""
2224,FDPS,"farnesyl diphosphate synthase","","","","","","","",""
23373,CRTC1,"CREB regulated transcription coactivator 1","","","","","","","",""
2353,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit","","","","","","","",""
246184,CDC26,"cell division cycle 26","","","","","","","",""
2648,KAT2A,"lysine acetyltransferase 2A","","","","","","","",""
2874,GPS2,"G protein pathway suppressor 2","","","","","","","",""
291,SLC25A4,"solute carrier family 25 member 4","","","","","","","",""
292,SLC25A5,"solute carrier family 25 member 5",0.0432813751171733,-4.26236745493953,0.286420586943891,2.67326516925827,0.0676366688359973,-1.5132622668314,0.369579972292839,-0.940219185358142
293,SLC25A6,"solute carrier family 25 member 6",0.0282841137033255,-2.79506383827954,0.14315905404942,-1.38923483074172,0.0274235556252998,-1.97992887268714,0.718681524896096,-0.36521915630088
29882,ANAPC2,"anaphase promoting complex subunit 2","","","","","","","",""
29945,ANAPC4,"anaphase promoting complex subunit 4","","","","","","","",""
