Protein Set	Description	K02	K04	K05	K07	K10	K12	K18	K20	K23	K24	K26	K27	K31	K32	K35	K41	K03	K06	K08	K09	K11	K13	K14	K15	K19	K22	K28	K29	K38	K40	K42	K43	K44	Z01	Z03	Z05	Z07	Z09	Z16	Z17	Z18	Z19	Z20	Z23	Z02	Z06	Z10	Z11	Z12	Z13	Z14	Z15	Z21	Z22	Z04	Z08	Z25
TAF10	na	3.0	2.0	2.0	3.0	1.0	1.0	0.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	3.0	2.0	0.0	1.0	2.0	3.0	3.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0
HDHD2	na	8.0	9.0	5.0	10.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	8.0	7.0	6.0	5.0	8.0	7.0	8.0	5.0	8.0	8.0	7.0	9.0	7.0	7.0	8.0	6.0	7.0	6.0	9.0	9.0	9.0	9.0	10.0	7.0	7.0	9.0	10.0	11.0	10.0	11.0	10.0	5.0	8.0	9.0	7.0	5.0	6.0	5.0	9.0	8.0	8.0	8.0	8.0	10.0	9.0	9.0
MLKL	na	3.0	5.0	4.0	6.0	3.0	5.0	5.0	0.0	2.0	1.0	3.0	4.0	4.0	1.0	4.0	5.0	1.0	2.0	0.0	3.0	4.0	1.0	3.0	3.0	1.0	3.0	1.0	3.0	5.0	3.0	2.0	4.0	4.0	3.0	2.0	2.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	2.0	3.0	1.0	0.0	0.0	1.0	2.0	3.0	3.0	3.0	4.0	4.0	1.0	5.0
FLJ22555	na	4.0	3.0	4.0	3.0	2.0	3.0	4.0	1.0	1.0	3.0	1.0	2.0	1.0	3.0	2.0	4.0	2.0	2.0	0.0	3.0	4.0	2.0	1.0	4.0	1.0	2.0	3.0	4.0	1.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	2.0	1.0	1.0	3.0	3.0	4.0	3.0	1.0	3.0	3.0	3.0	3.0
PPM1G	na	19.0	19.0	20.0	21.0	17.0	16.0	15.0	17.0	16.0	15.0	20.0	20.0	18.0	20.0	19.0	18.0	14.0	18.0	16.0	18.0	18.0	15.0	18.0	18.0	18.0	15.0	16.0	19.0	18.0	17.0	18.0	20.0	21.0	21.0	19.0	17.0	21.0	20.0	19.0	20.0	20.0	20.0	18.0	21.0	21.0	19.0	18.0	17.0	17.0	18.0	20.0	19.0	19.0	19.0	20.0	20.0	20.0
IFITM1	na	3.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	1.0	3.0	4.0	3.0	3.0	4.0	1.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0
UBA5	na	3.0	6.0	2.0	4.0	4.0	2.0	4.0	3.0	3.0	1.0	4.0	2.0	4.0	4.0	2.0	4.0	3.0	4.0	0.0	3.0	3.0	4.0	4.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	5.0	4.0	6.0	4.0	3.0	5.0	4.0	4.0	6.0	6.0	6.0	6.0	4.0	6.0	6.0	3.0	1.0	3.0	2.0	3.0	5.0	3.0	4.0	5.0	6.0	5.0	4.0
BRD4	na	16.0	20.0	17.0	19.0	16.0	16.0	13.0	10.0	15.0	14.0	13.0	15.0	18.0	17.0	17.0	16.0	15.0	14.0	15.0	18.0	18.0	14.0	17.0	16.0	14.0	16.0	13.0	18.0	14.0	18.0	18.0	16.0	17.0	16.0	14.0	16.0	16.0	17.0	15.0	17.0	15.0	14.0	18.0	17.0	16.0	14.0	14.0	11.0	15.0	15.0	14.0	16.0	18.0	18.0	16.0	16.0	17.0
MYDGF	na	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	3.0
SSRP1	na	26.0	26.0	23.0	27.0	23.0	24.0	25.0	14.0	20.0	23.0	24.0	25.0	22.0	27.0	25.0	25.0	23.0	26.0	7.0	25.0	24.0	21.0	25.0	25.0	18.0	23.0	17.0	26.0	25.0	26.0	27.0	27.0	25.0	25.0	27.0	25.0	27.0	29.0	27.0	29.0	28.0	27.0	22.0	28.0	27.0	24.0	22.0	22.0	26.0	27.0	27.0	28.0	28.0	27.0	29.0	28.0	27.0
DCTPP1	na	9.0	8.0	9.0	7.0	7.0	9.0	3.0	8.0	8.0	8.0	9.0	9.0	8.0	8.0	9.0	9.0	2.0	9.0	6.0	7.0	8.0	6.0	9.0	9.0	9.0	6.0	1.0	9.0	9.0	9.0	8.0	8.0	8.0	8.0	8.0	7.0	8.0	8.0	7.0	6.0	7.0	8.0	4.0	7.0	7.0	7.0	8.0	5.0	3.0	9.0	7.0	8.0	7.0	6.0	9.0	7.0	8.0
