Protein Set,LUMA1,LUMA2,LUMA3,LUMA4,LUMA5,LUMB1,LUMB2,LUMB3,LUMB4,LUMB5,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,ZDRAVI1,ZDRAVI2,ZDRAVI3,ZDRAVI4,ZDRAVI5,ZDRAVI6,ZDRAVI7,ZDRAVI8,ZDRAVI9,ZDRAVI10
phenotype,LUMA,LUMA,LUMA,LUMA,LUMA,LUMB,LUMB,LUMB,LUMB,LUMB,TNBC,TNBC,TNBC,TNBC,TNBC,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI
MYH9_HUMAN,83.46179,42.67619,133.43227,59.354374,139.58487,150.38547,3.97399,23.842863,49.892017,97.65677,133.59462,215.41234,240.30832,240.28395,201.46675,217.00159,173.54454,202.41827,46.776085,169.59207,221.48476,229.26799,255.06898,178.17717,85.69945
VIME_HUMAN,136.99559,83.998,161.9968,190.99358,145.99478,216.99092,107.99753,112.9967,69.9971,146.99173,154.99458,209.98956,210.98724,135.9942,150.99342,239.99458,171.99341,221.98839,208.98993,183.9942,210.98877,236.98993,207.99187,200.99185,161.99226
PLSL_HUMAN,63.922997,53.922997,79.84599,127.794655,104.923,133.9061,57.976524,43.953045,36.92957,70.976524,136.7379,173.67966,199.85439,155.79614,126.73791,174.7379,116.912636,176.82527,57.97088,147.94176,181.76703,153.79614,180.79614,198.53406,82.97088
ANXA6_HUMAN,68.0,60.0,69.0,94.0,114.0,125.0,64.0,91.0,46.0,103.0,67.0,108.0,141.0,114.0,123.0,160.0,82.0,114.0,45.0,78.0,143.0,99.0,117.0,142.0,63.0
MOES_HUMAN,58.046154,29.866667,51.45641,78.394875,124.80513,77.396324,145.9214,118.117065,48.80435,108.34616,62.437874,55.408035,101.16272,77.16839,91.97042,73.20414,72.69527,83.90533,116.42012,79.689354,76.437874,67.45562,67.7071,126.121056,53.964497
ACTB_HUMAN,108.12222,71.19879,157.93388,161.38573,130.04712,148.39433,132.14948,108.2117,65.72503,177.63844,148.01314,164.99344,167.50293,160.36644,154.96484,183.2083,180.22847,189.48299,116.180664,140.41545,168.26765,161.19965,184.48248,213.43248,101.535164
FLNA_HUMAN,19.0,3.0,11.0,19.0,19.0,33.0,12.0,17.0,3.0,18.0,29.0,42.0,62.0,24.0,59.0,42.0,5.0,23.0,8.0,30.0,36.0,23.0,36.0,54.0,24.0
KPYM_HUMAN,25.0,28.0,37.0,36.0,78.0,65.0,27.0,64.0,20.0,62.0,59.0,81.0,92.0,82.0,70.0,97.0,66.0,84.0,27.0,59.0,88.0,58.0,71.0,98.0,34.0
HSP7C_HUMAN,58.09279,26.736673,23.182255,48.693913,75.43967,73.311714,74.9716,56.773884,37.795364,67.04706,51.53207,58.59897,65.1294,79.163506,65.092186,74.583046,61.480648,61.006744,76.68271,68.64918,75.21177,62.49063,65.13612,73.357925,43.57358
G3P_HUMAN,100.0,65.0,57.0,161.0,132.0,156.0,163.0,132.0,68.0,166.0,103.0,117.0,124.0,97.0,97.0,94.0,106.0,130.0,185.0,157.0,137.0,129.0,136.0,173.0,88.0
ANXA1_HUMAN,61.0,24.0,31.0,76.0,98.0,72.0,68.0,99.0,31.0,86.0,52.0,57.0,118.0,74.0,81.0,66.0,42.0,100.0,69.0,94.0,92.0,66.0,65.0,105.0,53.0
K2C1_HUMAN,76.27084,90.71875,82.979324,98.52936,59.188473,23.976696,69.942535,62.70457,3.9968944,58.58307,90.8102,98.88994,11.626715,52.48906,3.0,22.11111,10.518518,19.455717,68.44336,41.61727,14.703704,11.111111,9.111111,4.703704,20.982592
ENOA_HUMAN,38.0,16.0,26.0,37.697258,76.78903,47.67245,55.689804,66.52603,29.508677,71.52603,41.0,50.27829,51.27829,52.55658,48.123558,71.42264,46.85566,45.566975,26.85566,58.98961,66.27829,51.98961,88.55658,83.83487,35.27829
PGK1_HUMAN,58.0,35.0,44.0,66.0,80.0,97.0,110.0,92.0,34.0,89.0,37.0,71.0,66.0,64.0,51.0,58.0,61.0,61.0,80.0,66.0,70.0,68.0,73.0,101.0,17.0
SAMH1_HUMAN,8.0,3.0,11.0,10.0,49.0,30.0,37.0,12.0,17.0,29.0,40.0,46.0,34.0,60.0,27.0,46.0,32.0,61.0,12.0,48.0,57.0,45.0,56.0,61.0,19.0
TLN1_HUMAN,6.0,NA,20.0,10.0,18.0,23.0,NA,2.0,NA,14.0,21.976608,35.929825,58.929825,40.85965,30.964912,33.953217,6.0,24.988304,4.0,22.964912,27.906433,18.964912,39.91813,22.94152,7.0
