Protein Set;Annotation;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C21;C22;Z01;Z02;Z03;Z04;Z05;Z06;Z07;Z08;Z09;Z10;Z11;Z12;Z13;Z14;Z15;Z16;Z17;Z18;Z19;Z20;Z21;Z22;Z23;C03_2;C04_2;C05_2;C06_2;C07_2;C08_2;C09_2;C10_2;C11_2;C12_2;C13_2;C14_2;C15_2;C16_2;C17_2;C18_2
ANXA1;Annexin A1;26.0;65.0;7.0;44.0;60.0;49.0;42.0;13.0;34.0;33.0;38.0;33.0;60.0;38.0;77.0;53.0;68.0;95.0;100.0;58.0;42.0;22.0;31.0;41.0;66.0;34.0;27.0;38.0;42.0;100.0;69.0;20.0;84.0;94.0;92.0;83.0;66.0;65.0;69.0;105.0;35.0;53.0;50.0;71.0;58.0;49.0;68.0;57.0;65.0;71.0;59.0;47.0;76.0;54.0;56.0;24.0;93.0;67.0;66.0;44.0
LTA4H;Leukotriene A-4 hydrolase;0.0;6.0;0.0;0.0;3.0;2.0;2.0;0.0;0.0;3.0;6.0;3.0;1.0;0.0;8.0;2.0;4.0;11.0;19.0;2.0;0.0;4.0;10.0;6.0;3.0;3.0;0.0;2.0;5.0;12.0;0.0;1.0;14.0;8.0;9.0;16.0;9.0;5.0;13.0;11.0;5.0;0.0;10.0;11.0;11.0;3.0;7.0;6.0;9.0;4.0;9.0;2.0;6.0;10.0;5.0;3.0;14.0;7.0;8.0;0.0
PLEK;Pleckstrin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CAPN2;Calpain-2 catalytic subunit;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FGA;Fibrinogen alpha chain;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;26.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0
MMP9;Matrix metalloproteinase-9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
FGG;Fibrinogen gamma chain;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLU;Clusterin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WDR1;WD repeat-containing protein 1;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;2.0;0.0;6.0;1.0;6.0;18.0;31.0;15.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;3.0;5.0;0.0;0.0;5.0;0.0;2.0;8.0;3.0;14.0;6.0;25.0;0.0;4.0;6.0;13.0;4.0;2.0;1.0;0.0;0.0;2.0;2.0;3.0;5.0;0.0;4.0;1.0;5.0;6.0;8.0;2.0
APOA1;Apolipoprotein A-I;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;48.0;23.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;6.0;0.0;0.0
