Protein Set;Annotation;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C21;C22;Z01;Z02;Z03;Z04;Z05;Z06;Z07;Z08;Z09;Z10;Z11;Z12;Z13;Z14;Z15;Z16;Z17;Z18;Z19;Z20;Z21;Z22;Z23;C03_2;C04_2;C05_2;C06_2;C07_2;C08_2;C09_2;C10_2;C11_2;C12_2;C13_2;C14_2;C15_2;C16_2;C17_2;C18_2
PFN1;Profilin-1;51.00;95.00;36.00;43.00;76.00;59.00;60.00;16.00;51.00;52.00;68.00;47.00;91.00;88.00;99.00;67.00;82.00;69.00;79.00;58.00;62.00;76.00;59.00;53.00;117.00;65.00;49.00;65.00;82.00;123.00;87.00;49.00;80.00;96.00;87.00;80.00;102.00;93.00;89.00;87.00;80.00;39.00;49.00;69.00;103.00;46.00;78.00;86.00;67.00;102.00;100.00;81.00;93.00;120.00;79.00;67.00;94.00;90.00;72.00;54.00
USP14;Ubiquitin carboxyl-terminal hydrolase 14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
EHD1;EH domain-containing protein 1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00
PSMB9;Proteasome subunit beta type-9;0.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;2.00;5.00;7.00;7.00;2.00;3.00;0.00;3.00;3.00;10.00;24.00;4.00;15.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;9.00;8.00;9.00;3.00;2.00;5.00;5.00;6.00;6.00;6.00;5.00;6.00;0.00;6.00;5.00;6.00;5.00;9.00;0.00;3.00;2.00;3.00;5.00;3.00;8.00;6.00;8.00;9.00;8.00;5.00
HSPA5;Endoplasmic reticulum chaperone BiP;3.57;2.46;2.70;0.00;0.17;10.00;10.39;9.42;11.83;6.39;5.39;4.14;7.84;4.86;11.88;12.45;10.04;34.64;24.30;13.93;22.14;3.31;2.10;1.16;5.59;2.65;2.00;3.63;7.12;7.07;43.07;1.47;4.81;18.03;21.70;17.34;13.75;10.46;23.37;15.64;4.26;15.99;11.28;9.10;8.14;10.83;2.70;1.70;2.45;8.70;3.42;4.56;6.51;6.42;6.31;26.00;11.60;18.17;6.20;15.97
CALM1;Calmodulin-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;3.00;0.00;1.00;0.00;0.00;0.00;4.00;0.00;0.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
GNAI2;Guanine nucleotide-binding protein G(i) subunit alpha-2;0.00;0.00;0.00;0.00;5.00;2.00;2.00;4.00;6.00;9.00;0.00;15.00;7.00;6.00;4.00;6.00;13.00;10.00;10.00;4.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;3.00;11.00;6.00;2.00;17.00;16.00;10.00;12.00;9.00;16.00;12.00;30.00;7.00;3.00;12.00;10.00;7.00;0.00;2.00;3.00;1.00;6.00;5.00;2.00;8.00;5.00;4.00;2.00;9.00;9.00;16.00;9.00
CTSD;Cathepsin D;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
HSPA1A;Heat shock 70 kDa protein 1A;6.79;14.77;2.03;8.90;13.21;13.36;10.93;5.04;3.05;21.92;11.58;3.71;8.76;4.71;21.00;12.13;13.32;15.18;27.62;22.74;42.27;8.38;9.19;13.20;17.73;3.19;5.20;8.80;9.79;7.36;40.14;3.00;20.36;19.91;20.98;28.54;24.39;20.53;24.15;22.36;8.59;15.15;14.98;9.57;12.93;13.25;8.61;9.76;5.87;3.88;7.07;9.07;9.45;3.90;27.81;21.93;37.04;23.03;16.05;14.90
RASGRP1;RAS guanyl-releasing protein 1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
LTA4H;Leukotriene A-4 hydrolase;0.00;6.00;0.00;0.00;3.00;2.00;2.00;0.00;0.00;3.00;6.00;3.00;1.00;0.00;8.00;2.00;4.00;11.00;19.00;2.00;0.00;4.00;10.00;6.00;3.00;3.00;0.00;2.00;5.00;12.00;0.00;1.00;14.00;8.00;9.00;16.00;9.00;5.00;13.00;11.00;5.00;0.00;10.00;11.00;11.00;3.00;7.00;6.00;9.00;4.00;9.00;2.00;6.00;10.00;5.00;3.00;14.00;7.00;8.00;0.00
S100A9;Protein S100-A9;0.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;38.00;0.00;0.00;4.00;16.00;8.00;3.00;4.00;5.00;28.00;0.00;15.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;8.00;2.00;29.00;3.00;18.00;31.00;12.00;6.00;2.00;1.00;32.00;0.00;0.00;14.00;20.00;39.00;0.00;12.00;12.00;32.00;3.00;0.00;4.00;27.00;18.00;51.00;9.00;29.00;24.00;7.00
PLEK;Pleckstrin;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
LCK;Tyrosine-protein kinase Lck;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
LTF;Lactotransferrin;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;0.00;0.00;61.00;0.00;0.00;0.00;17.00;1.00;0.00;0.00;0.00;43.00;0.00;10.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;3.00;2.00;0.00;2.00;7.00;1.00;0.00;0.00;0.00;51.00;0.00;0.00;29.00;14.00;14.00;0.00;0.00;22.00;11.00;0.00;0.00;31.00;3.00;0.00;16.00;0.00;11.00;6.00;7.00
