phenotype,LUMA,LUMA,LUMA,LUMA,LUMA,LUMB,LUMB,LUMB,LUMB,LUMB,TNBC,TNBC,TNBC,TNBC,TNBC,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI
K2C1_HUMAN,76.27084,90.71875,82.979324,98.52936,59.188473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
K1C10_HUMAN,23.0,45.0,35.0,42.0,20.0,3.0,46.0,37.0,NA,38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CH60_HUMAN,5.0,NA,13.0,5.0,32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
K22E_HUMAN,22.506304,33.945988,42.375984,37.526665,16.791466,8.656118,35.083984,25.005135,0.7966102,12.635784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MECP2_HUMAN,2.0,NA,NA,NA,2.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
IMB1_HUMAN,NA,NA,2.0,2.0,10.0,6.0,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RL4_HUMAN,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PHB2_HUMAN,NA,NA,7.0,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RHOA_HUMAN,1.0,NA,NA,NA,1.0,4.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PERM_HUMAN,NA,20.0,7.0,NA,8.0,NA,NA,NA,NA,NA,NA,1.0,4.0,2.0,13.0,NA,NA,NA,NA,NA,NA,1.0,2.0,NA,NA
GSTK1_HUMAN,NA,NA,NA,NA,2.0,1.0,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
TCPQ_HUMAN,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SEPT9_HUMAN,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RL12_HUMAN,3.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
