SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
HRG,histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181],1,0.556,0.0259,Yes
IGHV3-7,immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620],4,0.546,0.0488,Yes
APOA1,apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600],7,0.495,0.0691,Yes
TF,transferrin [Source:HGNC Symbol;Acc:HGNC:11740],9,0.476,0.0910,Yes
A2M,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7],10,0.470,0.1150,Yes
SERPINC1,serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775],19,0.391,0.1148,Yes
SERPINA1,serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941],23,0.375,0.1264,Yes
HBD,hemoglobin subunit delta [Source:HGNC Symbol;Acc:HGNC:4829],25,0.366,0.1426,Yes
LAMP2,lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501],36,0.339,0.1348,Yes
IGLV3-21,immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905],40,0.322,0.1437,Yes
ANXA2,annexin A2 [Source:HGNC Symbol;Acc:HGNC:537],44,0.313,0.1522,Yes
SOD1,superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179],47,0.306,0.1628,Yes
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855],48,0.292,0.1777,Yes
HBB,hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827],56,0.246,0.1727,No
PFN1,profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881],89,0.194,0.1020,No
MMRN1,multimerin 1 [Source:HGNC Symbol;Acc:HGNC:7178],105,0.194,0.0741,No
TFPI,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760],106,0.194,0.0840,No
A1BG,alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5],110,0.180,0.0857,No
ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132],112,0.176,0.0921,No
SERPINA3,serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16],113,0.175,0.1011,No
CLU,clusterin [Source:HGNC Symbol;Acc:HGNC:2095],115,0.148,0.1062,No
ALB,albumin [Source:HGNC Symbol;Acc:HGNC:399],116,0.148,0.1137,No
ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163],120,0.136,0.1131,No
PSAP,prosaposin [Source:HGNC Symbol;Acc:HGNC:9498],123,0.126,0.1145,No
IGHV3-23,immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588],126,0.116,0.1154,No
IGHM,immunoglobulin heavy constant mu [Source:HGNC Symbol;Acc:HGNC:5541],135,0.095,0.1001,No
PRCP,prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344],140,0.073,0.0938,No
FGG,fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694],149,0.034,0.0754,No
IGKV3-15,immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816],151,0.030,0.0744,No
ECM1,extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153],164,0.000,0.0441,No
FAM3C,FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664],168,0.000,0.0366,No
CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709],176,0.000,0.0190,No
ORM2,orosomucoid 2 [Source:HGNC Symbol;Acc:HGNC:8499],178,-0.015,0.0172,No
CD44,CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681],180,-0.022,0.0158,No
IGKV3D-20,immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825],192,-0.060,-0.0088,No
SDC1,syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658],193,-0.061,-0.0057,No
GP6,glycoprotein VI platelet [Source:HGNC Symbol;Acc:HGNC:14388],200,-0.099,-0.0157,No
SERPINA5,serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723],201,-0.100,-0.0106,No
ALDOA,"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",211,-0.136,-0.0263,No
IGKV3-20,immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817],212,-0.137,-0.0193,No
FGB,fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662],215,-0.139,-0.0172,No
IGHA1,immunoglobulin heavy constant alpha 1 [Source:HGNC Symbol;Acc:HGNC:5478],225,-0.169,-0.0313,No
PLG,plasminogen [Source:HGNC Symbol;Acc:HGNC:9071],226,-0.178,-0.0221,No
EGF,epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229],229,-0.182,-0.0179,No
ENDOD1,endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129],231,-0.185,-0.0109,No
ANXA5,annexin A5 [Source:HGNC Symbol;Acc:HGNC:543],235,-0.194,-0.0085,No
CD84,CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704],257,-0.194,-0.0515,No
PLAU,"plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]",258,-0.194,-0.0416,No
IGKV1-33,immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737],268,-0.194,-0.0544,No
ISLR,immunoglobulin superfamily containing leucine rich repeat [Source:HGNC Symbol;Acc:HGNC:6133],270,-0.202,-0.0466,No
FN1,fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778],284,-0.227,-0.0677,No
